,age,educational-num,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,gender,native-country
29271,48,9,0,0,60,Self-emp-not-inc,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
45142,19,6,0,1602,45,Private,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States
25268,43,9,3908,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
30970,72,11,6723,0,25,Private,Separated,Other-service,Unmarried,White,Female,United-States
45461,20,10,0,0,35,Private,Never-married,Machine-op-inspct,Other-relative,Black,Female,United-States
28544,34,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,Nicaragua
31756,42,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,Unknown
11062,36,10,0,0,40,Private,Divorced,Sales,Not-in-family,White,Male,United-States
21782,60,14,0,0,40,Private,Divorced,Prof-specialty,Other-relative,Black,Male,United-States
26678,52,9,0,0,44,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
29156,37,13,0,1977,40,Private,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
14229,47,13,0,0,40,Local-gov,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States
5587,65,9,0,0,8,Unknown,Widowed,Unknown,Not-in-family,White,Female,United-States
34356,65,9,0,0,40,Private,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Male,Cambodia
30639,34,9,0,0,35,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
6739,49,9,0,0,38,Private,Never-married,Other-service,Not-in-family,White,Male,United-States
18764,74,13,0,0,10,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
35245,19,10,0,0,40,Unknown,Never-married,Unknown,Not-in-family,White,Male,United-States
749,49,9,0,0,40,Federal-gov,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,Philippines
48644,41,10,0,0,40,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
20427,38,9,0,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
32817,33,9,0,0,35,Private,Never-married,Adm-clerical,Own-child,White,Male,United-States
15514,25,13,0,0,40,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
28175,44,10,0,0,35,Private,Never-married,Other-service,Not-in-family,White,Male,United-States
29876,29,12,0,0,60,Self-emp-not-inc,Never-married,Other-service,Own-child,White,Male,United-States
7111,24,5,0,0,45,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
19620,31,9,0,0,40,Private,Widowed,Craft-repair,Unmarried,White,Female,United-States
41737,54,16,0,1977,50,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
26481,34,10,0,0,35,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
42021,41,9,0,0,40,Private,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States
10426,45,11,0,0,44,Private,Divorced,Sales,Not-in-family,White,Female,United-States
33887,26,10,0,0,60,Private,Never-married,Other-service,Not-in-family,White,Male,United-States
41096,50,10,0,0,35,Private,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,United-States
6216,52,6,0,0,50,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
44950,57,16,0,1977,40,Private,Married-civ-spouse,Tech-support,Husband,White,Male,Germany
33984,23,13,0,0,15,Private,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
13328,52,13,0,0,40,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
30996,33,11,0,0,55,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
35674,38,9,0,1876,40,Local-gov,Never-married,Craft-repair,Not-in-family,White,Male,Canada
28213,21,9,0,0,40,Private,Never-married,Other-service,Own-child,White,Female,United-States
29640,38,6,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
47193,55,13,3464,0,40,Private,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
11462,25,9,0,0,10,Private,Divorced,Craft-repair,Own-child,White,Male,United-States
44670,31,9,0,0,40,Local-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
25536,34,13,0,0,45,Private,Never-married,Sales,Not-in-family,White,Male,United-States
12868,47,9,0,0,35,Private,Widowed,Prof-specialty,Unmarried,Other,Female,Puerto-Rico
39552,29,10,1831,0,40,Private,Divorced,Exec-managerial,Own-child,White,Female,United-States
35137,37,7,0,0,65,Private,Divorced,Transport-moving,Not-in-family,White,Male,United-States
31448,45,9,0,0,35,Private,Divorced,Other-service,Other-relative,Black,Female,United-States
14633,37,9,0,0,40,State-gov,Never-married,Adm-clerical,Other-relative,White,Female,United-States
16255,43,14,0,1902,50,Local-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
20122,49,9,0,0,40,Private,Separated,Machine-op-inspct,Unmarried,White,Female,United-States
40039,75,7,0,0,50,Self-emp-inc,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
25993,30,7,0,0,40,Unknown,Never-married,Unknown,Unmarried,White,Male,United-States
2602,52,10,0,0,40,Federal-gov,Divorced,Adm-clerical,Unmarried,Black,Female,United-States
18422,49,9,0,0,40,Private,Widowed,Tech-support,Unmarried,White,Male,United-States
11884,41,9,0,0,40,Local-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
30973,20,9,0,0,25,Unknown,Never-married,Unknown,Own-child,Black,Female,United-States
9799,26,10,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
36465,51,9,0,0,40,Local-gov,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
46026,52,9,0,0,45,Private,Never-married,Other-service,Unmarried,White,Female,United-States
33100,35,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
42207,48,14,0,0,61,State-gov,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
1839,27,9,0,0,40,Private,Never-married,Craft-repair,Not-in-family,White,Male,United-States
39431,19,9,0,0,15,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
44857,44,10,0,0,32,Private,Widowed,Adm-clerical,Unmarried,White,Female,United-States
48629,44,13,0,0,55,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
24040,41,9,0,0,52,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
38738,21,10,0,0,16,Private,Never-married,Other-service,Own-child,White,Female,United-States
939,25,9,0,0,40,Private,Never-married,Exec-managerial,Own-child,Black,Male,United-States
24332,38,13,7688,0,42,Federal-gov,Married-civ-spouse,Sales,Husband,White,Male,United-States
21992,43,9,0,0,40,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
38082,45,10,4650,0,40,Private,Divorced,Sales,Not-in-family,White,Male,United-States
47289,47,13,0,0,40,State-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
36640,41,10,0,0,40,Private,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
21069,37,14,0,0,45,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
35570,32,10,0,0,30,Private,Divorced,Exec-managerial,Unmarried,White,Female,United-States
18538,20,9,0,0,25,Private,Never-married,Other-service,Own-child,White,Female,United-States
22215,44,10,0,0,40,Private,Divorced,Adm-clerical,Unmarried,White,Female,United-States
6075,45,9,0,0,31,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
46254,20,10,0,0,25,Private,Never-married,Other-service,Not-in-family,White,Female,United-States
4411,47,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,Columbia
3021,34,13,0,1902,32,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
7219,35,10,0,0,40,Private,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States
16322,53,13,0,0,40,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
11597,21,9,0,0,40,Private,Never-married,Craft-repair,Own-child,White,Male,United-States
9311,46,14,0,0,40,State-gov,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
4259,42,10,0,0,18,Unknown,Divorced,Unknown,Not-in-family,White,Female,United-States
12412,46,9,0,0,35,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Italy
4069,20,7,0,0,40,Private,Never-married,Farming-fishing,Own-child,Black,Male,United-States
48372,34,13,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
1706,57,14,0,0,60,Local-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
45713,33,12,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
46859,29,13,0,0,40,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
12909,45,10,13550,0,60,Private,Never-married,Exec-managerial,Not-in-family,Other,Male,India
44946,29,15,0,0,55,Private,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,United-States
18144,25,9,0,0,40,Private,Never-married,Craft-repair,Other-relative,White,Male,United-States
4147,23,13,0,0,40,Private,Never-married,Exec-managerial,Own-child,White,Male,United-States
30767,27,9,0,0,40,Private,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
22074,43,9,0,0,40,Local-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
8561,56,13,0,0,40,Private,Divorced,Exec-managerial,Not-in-family,White,Male,United-States
47448,51,9,0,0,70,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
26232,33,9,1831,0,40,State-gov,Never-married,Other-service,Unmarried,Black,Female,United-States
1860,20,9,0,0,40,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
14492,25,10,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
19630,36,13,0,0,40,Private,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
2402,57,7,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
41308,42,12,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
35916,37,15,0,0,60,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
37426,43,4,4508,0,40,Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,White,Male,Cuba
32152,43,10,0,0,40,Unknown,Divorced,Unknown,Unmarried,Asian-Pac-Islander,Female,United-States
37732,53,14,0,0,65,Self-emp-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
3079,17,5,0,0,40,Private,Never-married,Handlers-cleaners,Other-relative,White,Male,Mexico
2359,53,15,0,0,40,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India
10845,46,13,0,0,50,Local-gov,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
16437,23,13,0,0,40,Private,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States
40469,50,10,0,0,40,Private,Married-civ-spouse,Sales,Husband,White,Male,United-States
3053,33,9,0,0,20,Private,Married-civ-spouse,Sales,Wife,White,Female,United-States
26951,71,15,0,0,16,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
12147,25,11,0,0,65,Private,Never-married,Sales,Not-in-family,White,Male,Canada
45632,69,9,9386,0,12,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
18781,27,10,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
1314,37,13,4934,0,50,Private,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,United-States
47957,34,9,0,0,55,Self-emp-inc,Never-married,Farming-fishing,Own-child,White,Male,United-States
21322,23,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
413,22,12,0,0,25,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
26923,18,10,0,0,40,Private,Never-married,Prof-specialty,Own-child,White,Female,United-States
9469,47,10,4064,0,40,Private,Married-civ-spouse,Tech-support,Husband,Black,Male,United-States
36289,47,12,0,0,40,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
21772,27,9,0,0,40,Private,Never-married,Protective-serv,Own-child,White,Male,Japan
11627,48,9,0,0,40,Private,Divorced,Prof-specialty,Unmarried,White,Female,United-States
32773,58,13,0,0,70,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
23968,27,13,0,1876,40,Private,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
10226,43,3,0,0,40,Private,Married-spouse-absent,Priv-house-serv,Other-relative,White,Female,El-Salvador
38770,37,9,0,0,45,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
20654,35,6,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Male,United-States
36433,52,13,15024,0,50,Self-emp-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
3552,56,4,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
21566,31,10,0,0,20,Self-emp-inc,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
46654,36,9,0,1902,48,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
46846,20,7,2961,0,35,Private,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,United-States
3086,61,4,0,0,50,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
19263,43,10,0,0,40,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
33372,22,3,0,0,40,Private,Never-married,Farming-fishing,Other-relative,White,Male,Mexico
15374,50,10,0,0,40,Local-gov,Widowed,Adm-clerical,Unmarried,White,Female,United-States
12735,33,10,0,0,40,Private,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States
48841,52,9,15024,0,40,Self-emp-inc,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
25336,74,13,0,0,8,Private,Widowed,Other-service,Not-in-family,White,Female,United-States
17300,19,9,0,0,30,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
31920,21,10,0,0,20,Private,Never-married,Adm-clerical,Own-child,White,Male,United-States
7475,42,10,0,0,52,Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
42060,29,9,0,0,50,Private,Divorced,Handlers-cleaners,Own-child,White,Male,United-States
11556,26,9,0,0,40,Private,Never-married,Adm-clerical,Own-child,Black,Male,United-States
2038,48,9,14084,0,45,Private,Widowed,Exec-managerial,Not-in-family,White,Male,United-States
19069,27,14,0,0,50,State-gov,Never-married,Prof-specialty,Not-in-family,White,Female,Germany
47693,47,10,0,0,50,Private,Separated,Adm-clerical,Unmarried,White,Female,United-States
2392,34,9,2202,0,99,Private,Never-married,Craft-repair,Not-in-family,White,Male,United-States
8720,36,10,0,0,55,Self-emp-not-inc,Married-civ-spouse,Sales,Husband,White,Male,United-States
7,63,15,3103,0,32,Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
28294,55,6,0,0,40,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
25306,27,7,0,0,42,Private,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
15108,52,10,0,0,40,Local-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
27067,30,10,0,0,45,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
18204,21,10,0,0,40,Unknown,Never-married,Unknown,Own-child,White,Female,United-States
46623,45,13,0,0,40,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
18900,40,9,0,0,40,Self-emp-inc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States
9518,41,13,0,0,99,Private,Divorced,Other-service,Not-in-family,White,Female,United-States
13081,71,10,0,0,28,Private,Widowed,Other-service,Not-in-family,White,Female,United-States
9356,31,2,0,0,40,Private,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico
22139,20,6,0,0,40,Private,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States
36697,54,4,0,3900,40,Private,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States
40908,35,10,0,0,40,Federal-gov,Never-married,Handlers-cleaners,Unmarried,White,Female,United-States
13183,43,9,0,0,45,Unknown,Divorced,Unknown,Not-in-family,Amer-Indian-Eskimo,Male,United-States
27835,30,13,0,0,72,State-gov,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
45311,38,14,0,0,60,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,Cuba
3805,58,10,0,0,60,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
17800,17,5,0,0,9,Local-gov,Never-married,Other-service,Own-child,Black,Male,United-States
3795,34,9,0,0,40,Private,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,Mexico
15847,66,7,10605,0,40,Private,Married-civ-spouse,Other-service,Husband,White,Male,United-States
23653,26,10,0,0,40,Private,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States
48597,23,9,0,0,8,Federal-gov,Never-married,Armed-Forces,Not-in-family,White,Male,United-States
17261,49,9,0,0,44,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
17640,23,10,0,0,40,Private,Never-married,Machine-op-inspct,Own-child,White,Male,United-States
47898,28,9,0,0,40,Self-emp-not-inc,Never-married,Other-service,Not-in-family,White,Male,United-States
18001,31,9,0,0,40,Private,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
25758,19,10,0,0,40,Unknown,Never-married,Unknown,Own-child,White,Female,United-States
32715,33,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,Other,Male,United-States
30824,41,9,2174,0,40,Private,Divorced,Craft-repair,Unmarried,White,Male,Japan
7387,39,13,7688,0,50,Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
47856,18,9,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
6325,73,9,0,0,20,Unknown,Married-spouse-absent,Unknown,Not-in-family,White,Female,Canada
2979,34,3,0,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Mexico
20922,58,9,15024,0,60,Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
32153,49,13,0,0,40,State-gov,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
15780,22,7,0,0,40,Private,Never-married,Craft-repair,Other-relative,White,Male,United-States
21952,32,10,0,0,16,Private,Married-civ-spouse,Protective-serv,Husband,Black,Male,United-States
25344,46,13,0,0,40,State-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
19807,29,10,0,0,40,Private,Never-married,Adm-clerical,Own-child,Black,Male,United-States
45721,45,10,0,1902,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,Unknown
35958,29,14,0,0,40,Local-gov,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
21528,18,7,0,0,12,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
14388,60,5,0,0,45,Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
40184,35,13,0,1740,80,Local-gov,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
22434,37,14,0,0,40,Self-emp-not-inc,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
6118,40,14,0,0,50,Local-gov,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
37934,38,13,0,1740,40,Local-gov,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
43732,20,10,0,0,10,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
40796,18,7,0,0,30,Private,Never-married,Handlers-cleaners,Own-child,White,Male,United-States
22439,39,12,0,0,40,Private,Never-married,Sales,Not-in-family,White,Female,United-States
48145,17,8,0,0,25,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
8781,52,9,0,0,46,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
36502,49,9,0,0,40,Private,Divorced,Other-service,Not-in-family,White,Female,United-States
19422,27,9,0,0,50,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
29619,36,12,0,0,40,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
31432,27,12,4064,0,40,Federal-gov,Married-civ-spouse,Adm-clerical,Husband,White,Male,El-Salvador
40235,30,13,0,0,20,Unknown,Married-civ-spouse,Unknown,Wife,White,Female,United-States
13319,23,10,0,0,24,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
15571,38,9,0,0,55,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
46119,29,9,0,0,40,Private,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
9135,20,10,0,0,40,Unknown,Never-married,Unknown,Own-child,Black,Female,United-States
16035,19,9,0,0,44,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
3794,33,7,0,0,49,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
20591,21,10,0,0,25,Private,Never-married,Tech-support,Own-child,White,Female,Ecuador
42800,31,13,0,0,40,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
7970,24,10,0,0,15,Unknown,Never-married,Unknown,Own-child,Black,Female,Haiti
22278,24,9,0,0,60,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,Mexico
23824,41,14,7430,0,36,Local-gov,Divorced,Prof-specialty,Unmarried,White,Female,United-States
4978,38,9,0,0,42,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
11459,32,9,0,0,40,Private,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
12805,50,11,0,0,46,Private,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
14458,17,7,0,0,16,Unknown,Never-married,Unknown,Own-child,White,Female,United-States
25362,28,11,0,0,40,Private,Never-married,Other-service,Other-relative,Black,Male,United-States
5747,40,14,0,0,55,Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Black,Male,Trinadad&Tobago
35465,19,9,0,0,45,Private,Never-married,Craft-repair,Not-in-family,White,Male,United-States
3941,48,14,0,0,25,Private,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
48578,47,9,0,0,30,Private,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States
22610,25,10,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
6813,45,13,0,0,40,State-gov,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
11783,34,9,0,0,40,Private,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Unknown
33173,25,9,0,0,40,Private,Never-married,Prof-specialty,Own-child,White,Male,United-States
29191,57,9,0,0,38,Private,Divorced,Other-service,Not-in-family,White,Male,United-States
2723,63,10,0,0,37,Private,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
30162,38,9,0,0,44,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
38027,67,3,0,0,40,Unknown,Widowed,Unknown,Unmarried,Black,Female,United-States
46435,35,10,0,0,45,Private,Married-civ-spouse,Tech-support,Husband,White,Male,United-States
29094,19,7,0,0,40,Private,Never-married,Other-service,Not-in-family,White,Female,United-States
24239,50,13,0,0,40,Local-gov,Never-married,Prof-specialty,Own-child,White,Female,United-States
33093,46,9,0,0,25,Without-pay,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States
40500,45,9,0,0,50,Self-emp-not-inc,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
8648,18,10,0,0,45,Unknown,Never-married,Unknown,Own-child,White,Male,United-States
32327,58,9,0,0,35,Private,Widowed,Sales,Not-in-family,White,Female,United-States
36719,23,9,0,0,40,Private,Never-married,Adm-clerical,Own-child,White,Female,United-States
19627,27,11,0,0,40,Private,Separated,Adm-clerical,Unmarried,White,Female,United-States
12910,61,9,0,0,24,Local-gov,Married-civ-spouse,Protective-serv,Husband,Black,Male,Unknown
39346,36,13,0,0,32,Private,Never-married,Prof-specialty,Not-in-family,White,Female,United-States
8609,29,9,0,0,20,Private,Never-married,Other-service,Own-child,White,Female,United-States
5657,27,10,0,0,50,Federal-gov,Divorced,Adm-clerical,Other-relative,Black,Female,United-States
24884,62,4,0,0,35,Local-gov,Widowed,Other-service,Not-in-family,Black,Female,United-States
38307,40,14,0,0,50,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
44500,44,10,0,0,40,Private,Widowed,Exec-managerial,Not-in-family,Black,Female,United-States
34216,23,13,0,0,40,Private,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
31227,31,10,0,0,35,Local-gov,Divorced,Adm-clerical,Not-in-family,White,Female,United-States
15526,52,10,0,0,40,Private,Never-married,Sales,Not-in-family,White,Female,United-States
10220,18,10,0,0,20,Private,Never-married,Sales,Own-child,White,Female,United-States
43819,27,9,0,0,40,Private,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States
11071,28,14,0,0,50,State-gov,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
2425,36,10,0,0,60,Private,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
29906,41,15,0,0,80,Private,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
37884,31,7,0,0,50,Private,Divorced,Farming-fishing,Not-in-family,White,Male,United-States
12129,47,9,0,0,32,Local-gov,Divorced,Other-service,Own-child,White,Female,United-States
44163,41,10,0,0,40,Private,Divorced,Adm-clerical,Own-child,Black,Female,United-States
36126,25,14,0,0,40,State-gov,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
1830,41,9,0,0,38,State-gov,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States
