audition_id,actor_id,manager_id,film_id,role_id,audition_round,audition_date,withdrawal_requested,experience_years,role_match_score,accent_match,availability_match,line_accuracy_score,special_skill_match,self_tape_quality_score,manager_rating,prior_collaboration,days_before_deadline,callback
AU000047,A001,M01,F47,RL1105,1,2024-05-29,False,4.1,0.227063,0,0,0.176763,0,0.486518,0.464466,0,4,0
AU000048,A001,M01,F48,RL1129,1,2022-04-27,False,4.1,0.115754,1,0,0.743437,0,0.320374,0.489108,0,1,0
AU000049,A001,M01,F49,RL1153,1,2021-12-25,False,4.1,0.0,1,1,0.538727,1,0.293251,0.462974,0,4,0
AU000050,A001,M01,F01,RL0002,1,2022-02-23,False,4.1,0.453635,0,1,0.635947,1,0.192463,0.708552,0,9,0
AU000051,A001,M01,F02,RL0026,1,2024-05-25,False,4.1,0.234451,1,0,0.729315,0,0.858292,0.610585,0,23,0
AU000052,A001,M01,F03,RL0050,1,2024-03-11,False,4.1,0.632518,0,1,0.3841,1,0.78673,0.613891,1,15,1
AU000053,A001,M01,F04,RL0074,1,2024-11-11,False,4.1,0.0,0,1,0.273779,0,0.297487,0.609372,0,12,0
AU000054,A001,M01,F05,RL0098,1,2024-07-15,False,4.1,0.0,1,0,0.411136,0,0.235312,0.510451,1,3,0
AU000055,A001,M01,F06,RL0122,1,2023-03-15,False,4.1,0.34387,1,1,0.842425,0,0.545913,0.33747,1,16,1
AU000056,A001,M01,F07,RL0146,1,2022-11-07,False,4.1,0.398918,0,1,0.263163,0,0.768012,0.729005,1,1,0
AU000057,A001,M01,F08,RL0170,1,2021-05-08,False,4.1,0.015583,1,1,0.812096,1,0.223922,0.550345,0,28,0
AU000058,A001,M01,F09,RL0194,1,2021-07-03,False,4.1,0.249547,0,0,0.180626,0,0.237729,0.425276,0,10,0
AU000059,A001,M01,F10,RL0218,1,2021-11-03,False,4.1,0.025504,0,0,0.67006,0,0.575606,0.463136,0,0,0
AU000060,A001,M01,F11,RL0242,1,2024-05-17,False,4.1,0.510095,1,1,0.641014,0,0.675988,0.773505,0,27,1
AU000061,A001,M01,F12,RL0266,1,2022-04-20,False,4.1,0.41283,0,1,0.567365,0,0.350594,0.697131,0,11,0
AU000062,A001,M01,F13,RL0290,1,2024-08-26,False,4.1,0.168699,0,1,0.352583,0,0.265642,0.436414,0,25,0
AU000063,A001,M01,F14,RL0314,1,2024-12-31,False,4.1,0.607211,1,1,0.617296,0,0.765065,0.300475,0,20,0
AU000064,A001,M01,F15,RL0338,1,2023-01-01,False,4.1,0.0,1,1,0.0,0,0.497314,0.577651,0,28,0
AU000065,A001,M01,F16,RL0362,1,2025-03-11,False,4.1,0.298033,0,1,0.456772,0,0.529816,0.581579,1,9,0
AU000066,A001,M01,F17,RL0386,1,2021-03-05,False,4.1,0.443765,1,0,0.145781,1,0.097319,0.588771,0,0,0
AU000067,A001,M01,F18,RL0410,1,2021-06-15,False,4.1,0.632379,1,0,0.518907,0,0.282709,0.634528,0,17,0
AU000068,A001,M01,F19,RL0434,1,2022-09-10,False,4.1,0.233332,0,1,0.329742,0,0.88573,0.581205,0,10,0
AU000069,A001,M01,F20,RL0458,1,2023-11-03,False,4.1,0.547159,0,1,0.514268,0,0.312715,0.640868,1,24,0
AU000070,A001,M01,F21,RL0482,1,2023-03-08,False,4.1,0.475115,0,1,0.674543,0,0.483664,0.668562,1,12,0
AU000071,A001,M01,F22,RL0506,1,2024-02-12,False,4.1,0.0,1,1,0.332621,0,0.526629,0.427712,1,0,0
AU000072,A001,M01,F23,RL0530,1,2025-05-21,False,4.1,0.400436,1,1,0.804836,0,0.638647,0.65408,0,24,0
AU000073,A001,M01,F24,RL0554,1,2021-08-25,False,4.1,0.484917,0,1,0.358919,0,0.251966,0.719522,0,29,0
AU000074,A001,M01,F25,RL0578,1,2022-07-10,False,4.1,0.785423,1,0,0.460711,1,0.462876,0.546629,0,8,0
AU000075,A001,M01,F26,RL0602,1,2022-03-26,False,4.1,0.0,0,0,0.759041,0,0.644389,0.435006,0,16,0
AU000076,A001,M01,F27,RL0626,1,2024-09-19,False,4.1,0.0,0,0,0.266841,0,0.394802,0.53702,0,14,0
AU000077,A001,M01,F28,RL0650,1,2023-07-18,False,4.1,0.027919,0,1,0.255277,0,0.11344,0.591297,0,17,0
AU000078,A001,M01,F29,RL0674,1,2021-09-02,False,4.1,0.088036,1,0,0.318814,0,0.768249,0.326978,0,13,0
AU000079,A001,M01,F30,RL0698,1,2022-01-31,True,4.1,0.175371,0,1,0.757211,0,0.718958,0.620471,0,17,0
AU000080,A001,M01,F31,RL0722,1,2024-03-01,False,4.1,0.228726,0,0,0.289762,1,0.360588,0.755072,0,27,0
AU000081,A001,M01,F32,RL0746,1,2024-06-06,False,4.1,0.0,1,0,0.368386,0,0.366569,0.512594,0,1,0
AU000082,A001,M01,F33,RL0770,1,2021-07-11,False,4.1,0.389763,0,0,0.626056,0,0.748392,0.652563,0,23,0
AU000083,A001,M01,F34,RL0794,1,2025-03-16,False,4.1,0.411029,1,1,0.549882,0,0.636391,0.500991,1,16,0
AU000084,A001,M01,F35,RL0818,1,2024-03-19,False,4.1,0.12246,1,1,0.404472,0,0.641404,0.632723,0,28,0
AU000085,A001,M01,F36,RL0842,1,2022-09-27,False,4.1,0.588257,0,1,0.42564,0,0.445302,0.565506,0,12,0
AU000086,A001,M01,F37,RL0866,1,2024-07-10,False,4.1,0.0,0,1,0.180748,0,0.490302,0.44215,0,9,0
AU000087,A001,M01,F38,RL0890,1,2023-07-27,False,4.1,0.0,1,1,0.658239,0,0.524607,0.581707,0,6,0
AU000088,A001,M01,F39,RL0914,1,2023-03-25,False,4.1,0.0,1,0,0.786921,1,0.832828,0.481923,1,19,0
AU000089,A001,M01,F40,RL0938,1,2023-04-11,False,4.1,0.363213,1,0,0.649915,0,0.615317,0.449081,0,7,0
AU000090,A001,M01,F41,RL0962,1,2022-06-28,False,4.1,0.0,1,0,0.530206,0,0.502496,0.609347,0,27,0
AU000091,A001,M01,F42,RL0986,1,2021-09-21,False,4.1,0.496577,1,0,0.593847,0,0.615693,0.617947,0,22,0
AU000092,A001,M01,F43,RL1010,1,2021-06-05,False,4.1,0.0,1,1,0.325579,0,0.465943,0.699363,1,20,1
AU000093,A001,M01,F44,RL1034,1,2024-06-25,False,4.1,0.347539,0,1,0.840031,1,0.511968,0.553953,0,30,1
AU000094,A001,M01,F45,RL1058,1,2023-11-11,True,4.1,0.816552,0,1,0.370727,0,0.489182,0.668528,0,5,0
AU000095,A001,M01,F46,RL1082,1,2021-05-28,False,4.1,0.0,0,1,0.701264,0,0.786974,0.653525,0,13,0
AU000096,A001,M01,F47,RL1106,1,2022-07-30,False,4.1,0.051517,0,1,0.438967,0,0.613058,0.46831,0,5,0
AU000097,A001,M01,F48,RL1130,1,2024-12-05,False,4.1,0.016966,1,0,0.446413,0,0.495813,0.742393,0,0,0
AU000098,A001,M01,F49,RL1154,1,2025-06-17,False,4.1,0.51364,0,0,0.62656,0,0.214972,0.74468,0,28,0
AU000099,A001,M01,F01,RL0003,1,2024-12-16,False,4.1,0.597325,1,0,0.381325,0,0.370975,0.620847,1,0,0
AU000100,A001,M01,F02,RL0027,1,2024-07-11,False,4.1,0.014362,0,1,0.329546,0,0.38313,0.752428,0,16,0
AU000101,A001,M01,F03,RL0051,1,2022-08-29,False,4.1,0.30191,0,1,0.783482,0,0.726486,0.648986,0,17,1
AU000102,A001,M01,F04,RL0075,1,2025-05-03,False,4.1,0.0,0,1,0.526598,0,0.405966,0.500902,1,21,0
AU000103,A001,M01,F05,RL0099,1,2023-09-08,False,4.1,0.032073,1,0,0.159184,0,0.430373,0.560024,1,30,0
AU000104,A001,M01,F06,RL0123,1,2021-10-25,False,4.1,0.752632,1,1,0.785001,0,0.720097,0.558097,0,11,0
AU000105,A001,M01,F07,RL0147,1,2024-12-10,False,4.1,1.0,1,0,0.539205,0,0.552182,0.449379,0,28,1
AU000106,A001,M01,F08,RL0171,1,2022-07-03,False,4.1,0.289351,0,1,0.2864,0,0.636074,0.395472,0,20,0
AU000107,A001,M01,F09,RL0195,1,2022-05-01,True,4.1,0.355758,0,0,0.423308,0,0.509658,0.403992,0,2,0
AU000108,A001,M01,F10,RL0219,1,2024-04-18,False,4.1,0.0,0,0,0.590136,1,0.529827,0.581024,0,7,0
AU000109,A001,M01,F11,RL0243,1,2024-05-23,False,4.1,0.367599,0,1,0.408482,1,0.493393,0.545492,0,26,0
AU000110,A001,M01,F12,RL0267,1,2022-05-26,False,4.1,0.543343,1,1,0.510998,1,0.585104,0.562961,1,6,1
AU000111,A001,M01,F13,RL0291,1,2024-02-06,False,4.1,0.185281,1,0,0.729533,0,0.576522,0.599899,1,18,0
AU000112,A001,M01,F14,RL0315,1,2023-02-26,False,4.1,0.343172,0,1,0.56118,1,0.447351,0.685405,0,18,1
AU000113,A001,M01,F15,RL0339,1,2021-10-09,False,4.1,0.26753,1,0,0.799174,0,0.710181,0.58638,1,23,0
AU000114,A001,M01,F16,RL0363,1,2021-06-18,False,4.1,0.302251,0,1,0.28164,0,0.795487,0.687667,0,26,0
AU000115,A001,M01,F17,RL0387,1,2023-05-23,False,4.1,0.361808,0,1,0.487939,0,0.654378,0.535966,0,18,0
AU000116,A001,M01,F18,RL0411,1,2021-06-14,True,4.1,0.108696,1,0,0.219888,0,0.482871,0.434915,1,8,0
AU000117,A001,M01,F19,RL0435,1,2023-11-15,False,4.1,0.172547,1,1,0.298445,0,0.731138,0.434569,0,7,0
AU000118,A001,M01,F20,RL0459,1,2021-02-23,False,4.1,0.153548,0,1,0.471528,0,0.206676,0.65053,0,27,0
AU000119,A001,M01,F21,RL0483,1,2022-01-22,False,4.1,0.0,0,0,0.726765,0,0.667206,0.696414,0,2,0
AU000120,A001,M01,F22,RL0507,1,2021-08-11,False,4.1,0.468811,1,1,0.531051,1,0.63103,0.700904,0,20,0
AU000121,A001,M01,F23,RL0531,1,2021-05-07,False,4.1,0.496975,1,0,0.792783,1,0.767548,0.671026,0,10,0
AU000122,A001,M01,F24,RL0555,1,2023-10-28,False,4.1,0.52788,1,1,0.68545,1,0.582946,0.542438,1,18,1
AU000123,A001,M01,F25,RL0579,1,2023-06-08,False,4.1,0.674051,1,0,0.258618,0,0.827557,0.646747,0,6,0
AU000124,A001,M01,F26,RL0603,1,2023-04-17,False,4.1,0.027296,0,0,0.130753,0,0.395055,0.684968,0,17,0
AU000125,A001,M01,F27,RL0627,1,2023-08-01,False,4.1,0.114038,0,1,0.880209,1,0.74154,0.449542,1,12,0
AU000126,A001,M01,F28,RL0651,1,2023-09-26,False,4.1,0.044189,1,1,0.720237,0,0.494019,0.468525,0,17,0
AU000127,A001,M01,F29,RL0675,1,2024-02-08,False,4.1,0.0,1,1,0.252075,0,0.279774,0.516213,0,24,0
AU000128,A001,M01,F30,RL0699,1,2021-01-24,False,4.1,0.186157,1,0,0.843447,0,0.270057,0.424028,0,14,0
AU000129,A001,M01,F31,RL0723,1,2025-03-20,False,4.1,0.084768,0,0,0.174602,0,0.630214,0.476412,0,4,0
AU000130,A001,M01,F32,RL0747,1,2024-03-11,False,4.1,0.405651,1,0,0.502631,0,0.372094,0.428896,0,4,0
AU000131,A001,M01,F33,RL0771,1,2021-11-12,False,4.1,0.0,0,0,0.6941,1,0.533846,0.540346,0,4,0
AU000132,A001,M01,F34,RL0795,1,2025-05-17,False,4.1,0.175138,1,1,0.688134,1,0.869269,0.66875,0,24,0
AU000133,A001,M01,F35,RL0819,1,2023-05-31,False,4.1,0.0,0,0,0.610755,0,0.412469,0.631577,1,19,0
AU000134,A001,M01,F36,RL0843,1,2021-08-21,False,4.1,0.0,1,1,0.134351,0,0.649031,0.574857,1,22,0
AU000135,A001,M01,F37,RL0867,1,2023-07-09,False,4.1,0.209372,1,1,0.608339,0,0.509083,0.338496,0,18,0
AU000136,A001,M01,F38,RL0891,1,2021-03-26,True,4.1,0.355174,1,0,0.595243,0,0.85942,0.432239,0,20,0
AU000137,A001,M01,F39,RL0915,1,2021-09-03,False,4.1,0.0,0,1,0.122606,0,0.569644,0.645296,0,15,0
AU000138,A001,M01,F40,RL0939,1,2023-09-09,False,4.1,0.243088,0,1,0.468276,0,0.369275,0.652179,1,1,0
AU000139,A001,M01,F41,RL0963,1,2021-06-04,False,4.1,0.0,1,0,0.676207,1,0.246907,0.472224,0,10,0
AU000140,A001,M01,F42,RL0987,1,2023-12-28,False,4.1,0.409165,0,1,0.473386,0,0.135927,0.590948,0,13,0
AU000141,A001,M01,F43,RL1011,1,2021-05-27,False,4.1,0.152086,0,1,0.729942,0,0.440107,0.707149,0,0,0
AU000142,A001,M01,F44,RL1035,1,2023-05-23,False,4.1,0.173136,0,0,0.721963,0,0.403313,0.725898,0,9,0
AU000143,A001,M01,F45,RL1059,1,2025-07-16,False,4.1,0.0,0,1,0.372476,0,0.65494,0.632705,0,20,0
AU000144,A001,M01,F46,RL1083,1,2023-09-09,False,4.1,0.0,0,0,0.317168,0,0.708399,0.47696,0,21,0
AU000145,A001,M01,F47,RL1107,1,2021-04-19,False,4.1,0.225763,0,1,0.674882,0,0.859695,0.665908,0,8,0
AU000146,A001,M01,F48,RL1131,1,2023-07-21,False,4.1,0.251191,1,0,0.057013,0,0.358393,0.668848,0,6,0
AU000147,A001,M01,F49,RL1155,1,2022-05-19,False,4.1,0.412117,1,0,0.75753,0,0.768283,0.263831,1,2,0
AU000148,A001,M01,F01,RL0004,1,2022-10-01,False,4.1,0.214631,1,0,0.645075,0,0.656027,0.486683,1,8,0
AU000149,A001,M01,F02,RL0028,1,2025-05-19,False,4.1,0.26265,1,0,0.525594,0,0.622386,0.529096,1,29,0
AU000150,A001,M01,F03,RL0052,1,2023-08-14,False,4.1,0.387294,0,0,0.47041,1,0.214729,0.302766,0,16,0
AU000151,A001,M01,F04,RL0076,1,2024-11-05,False,4.1,0.419027,0,1,0.404649,0,0.650608,0.501737,0,4,0
AU000152,A001,M01,F05,RL0100,1,2021-10-13,False,4.1,0.323879,0,0,0.510832,0,0.710507,0.776442,1,2,1
AU000153,A001,M01,F06,RL0124,1,2022-07-27,False,4.1,0.0,0,1,0.322648,0,0.882743,0.425906,0,1,0
AU000154,A001,M01,F07,RL0148,1,2022-11-24,False,4.1,0.51798,1,1,0.420225,0,0.45756,0.582518,0,27,0
AU000155,A001,M01,F08,RL0172,1,2022-05-14,False,4.1,0.267179,0,1,0.561145,0,0.556788,0.616091,0,26,0
AU000156,A001,M01,F09,RL0196,1,2023-12-09,False,4.1,0.843151,1,0,0.647706,0,0.934774,0.579045,0,15,1
AU000157,A001,M01,F10,RL0220,1,2023-01-05,False,4.1,0.252259,0,1,0.622325,0,0.346706,0.606805,0,20,0
AU000158,A001,M01,F11,RL0244,1,2021-03-12,False,4.1,0.22485,1,0,0.531159,0,0.624183,0.35626,0,7,0
AU000159,A001,M01,F12,RL0268,1,2025-05-04,False,4.1,0.301556,1,1,0.555386,0,0.504176,0.638607,0,16,0
AU000160,A001,M01,F13,RL0292,1,2025-03-25,False,4.1,0.0,1,0,0.690901,1,0.587035,0.591426,1,30,0
AU000161,A001,M01,F14,RL0316,1,2021-06-21,False,4.1,0.31507,0,0,0.789572,0,0.437593,0.750615,0,6,0
AU000162,A001,M01,F15,RL0340,1,2023-05-30,False,4.1,0.0,1,1,0.26319,1,0.502411,0.485729,0,21,1
AU000163,A001,M01,F16,RL0364,1,2023-04-16,False,4.1,0.300173,1,0,0.674021,0,0.249879,0.388704,1,18,0
AU000164,A001,M01,F17,RL0388,1,2023-10-22,False,4.1,0.134206,0,0,0.409294,0,0.296661,0.505853,1,15,0
AU000165,A001,M01,F18,RL0412,1,2021-06-14,False,4.1,0.112839,0,1,0.573095,0,0.312951,0.677653,0,2,0
AU000166,A001,M01,F19,RL0436,1,2021-03-26,False,4.1,0.350425,1,0,0.535101,0,0.580178,0.574066,0,5,0
AU000167,A001,M01,F20,RL0460,1,2022-11-25,False,4.1,0.551696,1,1,0.493826,0,0.632683,0.71056,0,9,0
AU000168,A001,M01,F21,RL0484,1,2021-12-06,False,4.1,0.170456,1,1,0.708789,0,0.688673,0.616075,0,6,0
AU000169,A001,M01,F22,RL0508,1,2022-05-27,False,4.1,0.0,0,0,0.805055,0,0.467168,0.512606,0,25,0
AU000170,A001,M01,F23,RL0532,1,2021-01-29,False,4.1,0.128861,0,0,0.703526,0,0.66864,0.387641,0,12,0
AU000171,A001,M01,F24,RL0556,1,2021-10-01,False,4.1,0.0,1,0,0.733996,0,0.717142,0.541047,0,19,0
AU000172,A001,M01,F25,RL0580,1,2022-04-01,False,4.1,0.671543,1,1,0.652421,0,0.480735,0.82041,1,5,1
AU000173,A001,M01,F26,RL0604,1,2024-12-16,False,4.1,0.641203,0,0,0.445477,0,0.521509,0.464749,1,19,0
AU000174,A001,M01,F27,RL0628,1,2023-09-13,False,4.1,0.400835,0,1,0.779373,0,0.563442,0.425051,1,9,1
AU000175,A001,M01,F28,RL0652,1,2022-03-12,False,4.1,0.0,0,0,0.226736,1,0.729147,0.615865,0,23,0
AU000176,A001,M01,F29,RL0676,1,2021-05-24,False,4.1,0.202314,1,0,0.295237,0,0.601243,0.342373,0,22,0
AU000177,A001,M01,F30,RL0700,1,2022-09-25,False,4.1,0.642132,0,1,0.53252,0,0.434901,0.610925,0,15,1
AU000178,A001,M01,F31,RL0724,1,2024-10-16,False,4.1,0.5342,1,0,0.746992,0,0.482467,0.450403,1,16,0
AU000179,A001,M01,F32,RL0748,1,2021-11-12,False,4.1,0.0,0,1,0.329863,0,0.708009,0.581964,0,26,0
AU000180,A001,M01,F33,RL0772,1,2024-04-15,False,4.1,0.0,0,0,0.603328,0,0.089819,0.607777,0,16,0
AU000181,A001,M01,F34,RL0796,1,2021-08-21,False,4.1,0.426387,1,1,0.554888,0,0.132871,0.589582,0,4,0
AU000182,A001,M01,F35,RL0820,1,2023-09-06,False,4.1,0.018793,0,1,0.778288,0,0.343608,0.5338,0,8,0
AU000183,A001,M01,F36,RL0844,1,2024-03-31,False,4.1,0.0,0,0,0.834526,0,0.758577,0.631595,0,24,0
AU000184,A001,M01,F37,RL0868,1,2021-03-14,False,4.1,0.0,1,0,0.426547,0,0.71408,0.409205,1,10,0
AU000185,A001,M01,F38,RL0892,1,2025-05-22,True,4.1,0.298841,1,1,0.605092,0,0.185383,0.71503,0,23,0
AU000186,A001,M01,F39,RL0916,1,2023-03-03,False,4.1,0.0,0,1,0.553584,0,0.655121,0.589299,0,11,0
AU000187,A001,M01,F40,RL0940,1,2023-07-06,False,4.1,0.337251,1,0,0.270272,0,0.615946,0.682139,0,0,0
AU000188,A001,M01,F41,RL0964,1,2021-12-15,False,4.1,0.295072,0,0,0.501162,0,0.414222,0.538821,0,16,0
AU000189,A001,M01,F42,RL0988,1,2021-03-14,False,4.1,0.370203,0,1,0.697593,0,0.197015,0.405301,0,24,0
AU000190,A001,M01,F43,RL1012,1,2025-04-06,False,4.1,0.330934,1,1,0.78209,0,0.412696,0.439963,0,27,0
AU000191,A001,M01,F44,RL1036,1,2022-04-21,False,4.1,0.372997,0,1,0.419417,1,0.277616,0.511655,0,16,0
AU000192,A001,M01,F45,RL1060,1,2022-08-30,False,4.1,0.461966,0,1,0.779058,0,0.597917,0.359056,1,18,0
AU000193,A001,M01,F46,RL1084,1,2023-05-22,False,4.1,0.0,0,0,0.567944,1,0.552101,0.540834,0,11,0
AU000194,A001,M01,F47,RL1108,1,2024-04-08,False,4.1,0.292675,1,0,0.4363,1,0.524477,0.72789,0,15,0
AU000195,A001,M01,F48,RL1132,1,2024-04-08,False,4.1,0.069334,0,1,0.868767,0,0.545204,0.598054,0,11,0
AU000196,A001,M01,F49,RL1156,1,2023-09-25,False,4.1,0.204815,0,1,0.339638,0,0.485751,0.870937,0,5,0
AU000197,A001,M01,F01,RL0005,1,2024-08-12,False,4.1,0.209786,0,0,0.410169,0,0.338244,0.645146,0,24,0
AU000198,A001,M01,F02,RL0029,1,2023-03-29,False,4.1,0.715931,0,0,0.846927,0,0.644355,0.519121,0,28,0
AU000199,A001,M01,F03,RL0053,1,2021-02-05,False,4.1,0.296337,0,1,0.932924,0,0.475527,0.565688,0,29,0
AU000200,A001,M01,F04,RL0077,1,2022-04-25,False,4.1,0.033663,0,0,0.655172,0,0.315054,0.545405,0,25,0
AU000201,A001,M01,F05,RL0101,1,2021-10-19,False,4.1,0.217922,0,0,0.167489,0,0.627489,0.619055,0,14,0
AU000202,A001,M01,F06,RL0125,1,2025-05-16,False,4.1,0.0,0,0,0.270139,0,0.204674,0.583885,0,0,0
AU000203,A001,M01,F07,RL0149,1,2024-12-05,False,4.1,0.106458,1,1,0.537997,0,0.712449,0.368712,0,7,1
AU000204,A001,M01,F08,RL0173,1,2021-11-12,False,4.1,0.306451,0,1,0.374849,0,0.265854,0.666513,0,10,0
AU000205,A001,M01,F09,RL0197,1,2024-01-15,False,4.1,0.240481,0,0,0.926715,0,0.471695,0.607635,0,14,0
AU000206,A001,M01,F10,RL0221,1,2023-12-17,False,4.1,0.158093,0,1,0.353472,0,0.675513,0.594549,0,12,0
AU000207,A001,M01,F11,RL0245,1,2023-08-25,False,4.1,0.173345,0,1,0.438884,0,0.657218,0.423093,1,24,0
AU000208,A001,M01,F12,RL0269,1,2023-05-24,False,4.1,0.150372,0,1,0.462703,0,0.623469,0.496203,0,16,0
AU000209,A001,M01,F13,RL0293,1,2022-08-12,False,4.1,0.450391,1,1,0.419267,0,0.725678,0.464611,1,7,1
