original_index,synthetic_collection_date
375,2025-11-01
378,2023-05-17
379,2023-07-28
381,2024-02-13
383,2019-10-22
386,2018-01-06
387,2023-09-03
388,2023-03-02
389,2018-05-24
390,2024-07-19
391,2016-06-03
392,2016-10-29
393,2015-05-26
395,2024-04-28
396,2016-12-24
397,2020-08-31
400,2016-05-21
401,2019-11-28
404,2016-04-27
405,2022-03-20
407,2022-02-13
410,2015-04-20
411,2024-03-13
412,2016-02-27
413,2023-08-27
414,2024-10-23
415,2022-08-11
416,2017-02-20
417,2019-03-12
418,2021-05-31
419,2016-02-17
420,2024-01-09
421,2024-05-06
423,2019-02-06
424,2023-02-24
427,2021-02-16
428,2015-06-16
429,2017-08-09
431,2024-02-18
432,2024-03-25
433,2016-09-12
434,2025-04-12
438,2024-04-26
441,2015-05-01
442,2015-08-17
443,2021-05-23
444,2020-05-20
445,2019-12-14
447,2021-06-27
449,2017-01-21
451,2021-03-18
452,2025-08-16
453,2025-02-18
454,2017-09-03
455,2018-08-17
456,2015-10-03
457,2017-12-12
458,2019-05-19
459,2018-12-20
460,2016-08-30
461,2025-04-18
463,2019-01-16
465,2024-04-30
466,2024-07-30
469,2018-11-03
470,2021-11-11
472,2018-12-24
473,2022-05-05
474,2016-12-03
475,2021-05-06
476,2025-01-24
480,2023-05-31
481,2018-04-12
483,2015-08-08
484,2025-09-14
488,2023-03-28
489,2020-07-16
491,2020-05-22
492,2023-12-05
494,2024-06-02
495,2019-10-20
496,2023-08-16
497,2018-07-02
498,2025-08-11
500,2015-01-04
501,2024-03-20
503,2019-04-24
504,2018-01-03
505,2021-11-21
511,2022-01-02
513,2020-02-23
514,2025-10-30
515,2020-11-21
516,2019-05-14
517,2021-06-15
518,2017-04-19
520,2019-08-25
521,2025-12-07
525,2019-09-01
527,2019-05-31
528,2015-02-06
529,2021-12-11
530,2020-06-14
531,2015-08-26
532,2023-11-17
534,2017-04-18
535,2017-05-30
536,2015-02-21
538,2025-10-31
539,2022-05-06
542,2023-02-09
543,2017-03-04
544,2021-05-30
546,2017-08-31
548,2016-02-24
549,2024-09-25
550,2015-05-02
551,2025-07-29
552,2025-12-07
553,2019-09-02
554,2025-12-17
555,2020-09-13
556,2025-11-06
558,2020-08-14
559,2018-08-20
560,2025-02-08
561,2025-03-24
562,2021-10-17
564,2023-07-31
565,2017-06-24
566,2020-09-01
567,2024-09-25
568,2019-11-30
570,2021-03-03
571,2021-09-01
572,2016-03-23
573,2024-11-12
574,2016-08-05
575,2024-03-25
576,2020-09-13
577,2015-05-31
578,2024-11-09
579,2024-09-28
580,2016-01-02
581,2016-11-23
582,2020-12-14
583,2020-11-23
584,2025-07-17
585,2025-03-10
587,2019-05-26
588,2024-10-27
589,2022-08-14
590,2015-09-28
591,2015-09-03
592,2025-02-26
593,2019-04-23
596,2015-02-28
597,2024-06-21
598,2021-11-13
599,2022-03-29
600,2015-03-27
601,2022-07-04
602,2017-05-30
603,2019-03-20
604,2020-11-16
605,2022-12-12
607,2022-08-04
608,2021-11-25
609,2022-04-02
610,2021-05-30
611,2021-04-19
612,2025-05-08
613,2015-04-15
614,2021-07-31
615,2025-12-30
616,2023-06-12
617,2015-10-07
618,2018-09-09
619,2021-11-13
620,2017-07-23
621,2020-08-26
622,2018-09-17
623,2021-05-14
624,2015-03-04
625,2017-06-11
626,2022-06-05
629,2017-08-22
630,2025-09-19
631,2023-12-23
632,2015-11-23
634,2020-07-30
635,2025-11-21
640,2015-11-20
642,2016-04-02
643,2021-06-14
644,2017-09-15
645,2018-07-09
647,2023-11-02
648,2019-11-29
650,2021-08-17
651,2023-11-15
652,2023-10-29
653,2020-05-02
654,2024-11-04
656,2023-07-01
657,2020-11-29
659,2023-10-26
661,2017-08-06
663,2018-11-17
664,2019-03-17
666,2015-05-30
667,2015-08-10
668,2025-03-28
669,2024-08-07
670,2019-10-30
672,2015-12-03
673,2019-05-01
674,2020-06-30
675,2020-11-11
677,2022-09-08
678,2015-05-07
680,2021-12-13
685,2023-08-28
686,2025-08-03
687,2022-10-14
688,2018-11-21
689,2023-08-04
690,2025-07-26
691,2024-12-08
692,2016-03-07
693,2022-08-09
694,2023-02-22
696,2018-05-22
697,2020-11-17
698,2015-09-02
699,2024-01-07
700,2015-01-08
701,2017-04-14
702,2016-09-06
704,2017-07-10
706,2022-03-20
707,2015-07-29
712,2015-08-01
714,2019-07-19
715,2022-01-04
717,2015-10-02
718,2017-12-02
720,2022-11-17
721,2015-11-21
722,2021-04-21
723,2019-01-16
724,2023-07-07
725,2015-12-08
726,2023-07-25
730,2024-06-22
732,2017-11-16
735,2020-09-24
736,2015-04-21
737,2023-03-01
738,2024-12-21
741,2023-09-01
742,2019-05-18
743,2017-03-14
746,2018-10-26
747,2022-05-17
748,2020-05-13
749,2025-08-15
751,2018-05-19
753,2022-09-19
754,2017-06-30
755,2016-10-28
756,2024-07-22
757,2018-01-24
758,2019-08-17
759,2019-07-23
760,2020-05-26
764,2023-09-30
766,2021-10-23
767,2017-05-20
768,2021-07-25
769,2023-10-21
771,2022-03-16
773,2021-10-30
775,2017-01-02
776,2018-02-17
777,2020-05-16
778,2023-05-24
780,2016-11-26
781,2021-07-24
785,2024-02-05
786,2021-08-12
788,2025-12-13
789,2015-07-28
790,2025-01-10
792,2021-07-13
793,2022-12-17
794,2016-06-06
795,2021-06-03
796,2021-05-04
797,2023-10-05
800,2021-06-17
801,2023-11-09
802,2017-08-17
803,2017-12-25
804,2019-12-03
807,2024-09-15
808,2015-10-10
809,2016-01-18
810,2022-03-06
811,2017-07-13
814,2021-07-29
815,2019-12-05
816,2022-08-18
817,2024-03-24
818,2024-04-04
819,2017-07-19
820,2021-05-16
821,2025-08-05
823,2025-04-16
824,2022-02-13
825,2016-02-17
826,2025-11-27
828,2018-08-04
830,2025-10-06
831,2017-01-28
832,2018-08-24
833,2018-01-23
835,2020-07-26
836,2016-04-05
838,2017-04-28
839,2015-12-28
840,2019-07-20
841,2020-06-16
842,2018-01-13
843,2024-02-11
845,2019-06-18
846,2022-08-08
847,2019-07-27
848,2025-05-31
849,2016-08-15
850,2019-08-17
851,2025-12-15
852,2020-08-30
854,2023-08-26
856,2017-10-21
857,2019-08-03
858,2025-04-01
859,2022-03-21
860,2025-02-07
861,2018-10-28
862,2018-03-16
863,2015-11-16
865,2019-05-28
867,2015-08-16
871,2017-08-13
872,2016-04-09
877,2024-09-06
878,2019-08-01
879,2016-11-22
880,2019-08-10
881,2016-02-24
883,2021-06-17
884,2024-02-16
885,2021-12-30
886,2022-10-03
889,2020-08-28
890,2019-09-21
892,2019-03-01
893,2016-01-31
894,2022-03-03
895,2023-06-08
897,2017-03-23
898,2015-06-23
899,2015-09-22
900,2020-10-10
901,2020-02-02
902,2024-06-05
904,2017-10-05
905,2018-01-27
906,2023-09-21
908,2018-12-17
913,2017-03-23
915,2021-09-22
916,2023-01-06
917,2024-09-13
918,2023-04-15
922,2015-09-09
923,2020-07-31
924,2018-06-30
925,2021-05-06
926,2020-08-18
927,2019-12-05
929,2020-02-23
930,2024-04-04
932,2017-07-18
933,2021-07-13
936,2023-12-27
938,2019-11-06
939,2019-01-14
941,2021-05-02
942,2021-02-23
944,2022-10-24
945,2015-05-06
946,2021-09-20
947,2016-11-05
948,2023-11-28
949,2024-11-16
950,2020-02-28
954,2018-10-01
955,2020-10-15
957,2016-12-17
959,2016-07-26
960,2024-05-07
961,2024-03-17
962,2024-10-15
963,2020-08-22
966,2015-11-04
969,2023-05-18
970,2018-03-16
972,2015-08-11
973,2022-03-28
974,2019-04-14
977,2015-11-18
978,2018-11-16
979,2021-01-14
981,2017-04-28
982,2021-02-15
983,2023-07-10
984,2021-09-26
985,2019-10-04
987,2023-03-23
988,2019-08-06
989,2017-06-28
990,2018-02-11
991,2016-06-22
993,2023-10-30
996,2022-03-02
997,2015-10-08
998,2017-11-26
999,2020-02-11
1002,2022-01-12
1003,2018-01-02
1004,2017-12-21
1005,2024-09-27
1006,2015-08-10
1008,2025-03-31
1009,2022-02-14
1012,2024-05-25
1014,2020-08-08
1015,2015-03-22
1016,2019-06-16
1017,2017-01-04
1019,2017-06-12
1020,2023-07-16
1021,2024-06-13
1025,2017-09-08
1026,2021-04-15
1028,2020-03-08
1031,2022-04-05
1036,2025-11-08
1037,2021-01-28
1038,2016-01-04
1039,2015-07-01
1043,2019-02-20
1044,2022-04-12
1045,2020-02-02
1046,2024-09-11
1047,2017-09-06
1050,2018-09-27
1051,2022-04-14
1052,2016-10-11
1053,2021-07-22
1054,2020-01-16
1057,2021-10-29
1058,2019-12-10
1059,2015-11-05
1061,2020-01-03
1063,2018-05-24
1065,2019-06-23
1066,2021-06-18
1067,2021-03-18
1068,2022-01-21
1069,2017-08-12
1070,2023-01-08
1071,2022-06-04
1073,2020-12-03
1076,2015-06-01
1077,2023-11-25
1080,2016-04-21
1081,2015-01-17
1082,2022-08-25
1083,2016-09-06
1085,2021-08-18
1086,2023-04-10
1087,2020-10-26
1088,2020-12-15
1090,2015-06-29
1091,2020-01-28
1092,2022-08-13
1093,2024-08-13
1094,2021-10-12
1095,2015-10-13
1096,2021-10-20
1097,2020-09-05
1098,2015-12-11
1099,2024-04-03
1103,2025-11-20
1104,2023-08-02
1106,2015-10-16
1107,2019-04-05
1109,2015-04-05
1111,2021-05-21
1112,2018-11-13
1113,2018-06-03
1114,2022-08-22
1115,2017-05-28
1116,2024-12-04
1119,2018-06-12
1121,2024-09-12
1123,2017-08-25
1125,2022-08-02
1126,2015-12-20
1129,2020-11-08
1130,2019-09-20
1131,2023-06-10
1134,2025-06-28
1135,2018-11-26
1136,2025-11-12
1140,2021-09-13
1142,2025-07-14
1143,2019-07-12
1144,2024-01-31
1147,2023-01-19
1149,2024-11-25
1151,2022-12-29
1154,2015-06-27
1155,2024-12-22
1156,2016-06-21
1158,2015-06-16
1159,2022-09-12
1160,2015-05-18
1163,2022-07-07
1164,2018-06-10
1165,2020-02-16
1166,2022-12-27
1168,2020-01-12
1170,2015-02-13
1171,2016-03-11
1173,2018-02-12
1175,2016-05-14
1177,2024-01-31
1178,2025-07-17
1179,2016-07-05
1181,2025-08-19
1182,2017-04-15
1183,2022-08-18
1185,2024-08-02
1186,2025-05-14
1187,2018-04-14
1189,2023-06-24
1190,2022-08-12
1192,2019-01-13
1194,2015-02-11
1195,2015-01-04
1197,2019-04-27
1198,2017-01-03
1199,2016-04-12
1200,2022-03-13
1201,2017-05-26
1202,2018-02-12
1204,2021-05-07
1205,2024-02-29
1206,2019-08-02
1207,2017-02-24
1208,2020-04-28
1209,2018-07-10
1210,2025-06-08
1212,2024-04-26
1214,2018-12-19
1217,2018-04-20
1220,2015-01-26
1221,2022-10-31
1222,2017-04-26
1227,2022-12-13
1228,2015-02-21
1229,2019-05-22
1230,2024-11-27
1231,2021-08-13
1232,2018-09-10
1234,2025-11-07
1236,2016-11-01
1239,2022-03-14
1240,2024-10-15
1242,2023-05-15
1243,2022-03-01
1245,2021-06-19
1246,2023-04-07
1247,2018-03-05
1248,2019-01-28
1253,2021-12-05
1254,2025-07-05
1255,2017-09-16
1256,2018-09-08
1259,2025-12-15
1260,2025-06-13
1262,2022-06-01
1264,2017-07-04
1265,2022-12-17
1266,2019-09-10
1267,2024-02-03
1268,2024-05-10
1270,2017-03-21
1271,2022-11-15
1273,2025-05-27
1275,2024-07-16
1276,2015-10-16
1277,2024-04-19
1278,2023-11-25
1279,2016-05-09
1280,2016-09-10
1282,2017-02-12
1283,2024-06-02
1284,2020-07-26
1286,2024-04-01
1289,2022-07-04
1290,2021-06-19
1291,2023-03-24
1292,2015-01-22
1293,2017-11-20
1294,2021-10-08
1295,2017-12-30
1296,2023-01-09
1297,2015-04-07
1299,2019-08-02
1300,2015-10-22
1301,2019-12-30
1302,2017-06-25
1303,2015-04-22
1304,2024-09-25
1305,2024-02-17
1307,2017-03-02
1308,2019-11-15
1310,2019-11-25
1313,2024-03-22
1314,2019-12-13
1315,2017-05-22
1317,2020-06-29
1318,2024-03-25
1319,2023-01-24
1320,2019-01-08
1321,2018-02-21
1323,2021-05-23
1324,2022-06-27
1325,2021-07-07
1326,2024-02-17
1327,2016-10-18
1329,2015-12-07
1332,2017-08-17
1334,2024-09-07
1335,2015-09-14
1336,2016-05-21
1338,2023-08-29
1339,2016-05-24
1340,2017-03-31
1341,2022-09-27
1342,2023-01-27
1344,2017-02-16
1345,2021-09-08
1346,2016-07-27
1352,2025-02-02
1355,2018-05-11
1357,2020-12-16
1358,2025-05-07
1359,2024-10-01
1361,2018-08-24
1364,2020-11-11
1365,2018-03-15
1366,2022-07-17
1367,2021-11-09
1368,2022-11-08
1369,2019-10-03
1370,2023-01-10
1372,2025-12-19
1373,2022-03-12
1374,2015-06-16
1375,2020-12-24
1376,2015-09-22
1377,2020-12-27
1379,2017-04-02
1380,2022-09-25
1382,2021-10-30
1383,2025-05-06
1385,2025-05-05
1387,2024-07-22
1388,2021-01-12
1389,2017-10-07
1390,2020-08-02
1391,2015-02-16
1393,2015-06-18
1394,2020-06-11
1395,2015-12-06
1396,2016-06-01
1397,2018-11-13
1398,2022-04-15
1399,2020-09-05
1400,2015-04-22
1403,2019-04-19
1404,2025-04-20
1406,2025-07-25
1407,2024-03-04
1408,2025-08-19
1409,2016-12-03
1411,2022-08-02
1412,2015-09-10
1414,2021-09-29
1415,2020-07-01
1417,2025-09-14
1418,2024-08-01
1419,2025-01-21
1420,2015-07-20
1422,2019-04-29
1425,2018-12-04
1426,2020-02-20
1427,2018-10-07
1428,2024-11-01
1429,2023-06-21
1432,2017-11-16
1433,2023-12-17
1434,2018-01-03
1435,2019-01-23
1438,2022-10-24
1440,2023-11-13
1441,2022-04-04
1444,2019-10-30
1445,2021-10-19
1446,2022-06-01
1447,2021-12-20
1448,2016-10-07
1449,2021-11-12
1450,2024-02-15
1451,2016-07-21
1454,2023-10-13
1455,2023-02-05
1456,2023-01-06
1457,2022-09-28
1460,2018-12-18
1463,2022-10-07
1464,2022-02-09
1465,2025-03-10
1467,2016-09-20
1469,2017-06-23
1471,2022-09-11
1472,2019-03-06
1474,2015-04-13
1475,2019-10-01
1476,2018-12-28
1479,2020-04-16
1480,2020-02-11
1481,2025-11-06
1482,2021-03-18
1484,2015-06-20
1485,2018-04-04
1486,2024-01-18
1487,2024-04-05
1488,2022-08-21
1490,2022-03-07
1491,2022-09-30
1492,2020-07-06
1494,2020-04-15
1495,2022-04-03
1496,2015-10-20
1498,2024-03-18
1499,2023-02-03
1502,2018-12-19
1503,2020-06-01
1504,2020-07-16
1509,2021-01-18
1510,2024-07-25
1512,2015-06-23
1513,2021-07-03
1515,2016-07-20
1517,2016-07-16
1518,2020-06-04
1519,2024-04-14
1522,2024-08-18
1523,2024-11-27
1524,2023-07-06
1525,2023-01-16
1526,2015-12-10
1527,2015-07-05
1528,2025-01-18
1529,2022-04-06
1530,2023-02-06
1532,2025-04-24
1533,2019-04-06
1534,2020-09-27
1536,2018-09-13
1538,2025-10-31
1539,2016-07-25
1540,2025-09-14
1541,2019-07-04
1545,2024-12-08
1546,2018-12-29
1548,2023-08-28
1549,2025-09-27
1552,2021-07-18
1557,2023-04-05
1558,2019-10-30
1560,2023-04-04
1561,2016-12-21
1562,2023-12-29
1564,2015-06-28
1565,2021-03-17
1568,2023-02-21
1569,2024-01-21
1570,2016-12-28
1572,2023-01-04
1573,2016-04-24
1575,2019-09-01
1576,2021-12-07
1577,2022-12-22
1578,2019-05-24
1579,2022-12-07
1581,2022-09-26
1583,2015-02-03
1585,2016-03-26
1588,2019-02-06
1591,2020-02-08
1594,2024-09-07
1595,2020-04-06
1596,2023-07-11
1598,2019-05-24
1599,2021-04-19
1600,2025-03-09
1602,2018-09-29
1604,2018-05-23
1607,2024-02-24
1609,2022-03-26
1610,2024-12-21
1611,2025-04-07
1612,2023-06-11
1613,2021-03-31
1614,2025-10-27
1615,2017-06-17
1618,2017-07-04
1619,2017-07-14
1621,2020-04-20
1622,2025-03-27
1623,2022-08-28
1624,2021-04-20
1625,2018-08-02
1626,2019-11-14
1627,2025-03-31
1630,2025-11-16
1631,2022-12-03
1632,2020-06-15
1633,2016-07-13
1635,2018-10-14
1636,2021-04-19
1637,2025-09-23
1638,2025-05-13
1640,2019-06-03
1641,2018-02-23
1643,2017-06-10
1646,2025-11-03
1647,2024-01-31
1648,2020-01-17
1649,2025-12-12
1650,2022-01-27
1651,2020-01-26
1653,2023-04-07
1654,2020-09-17
1657,2018-05-29
1658,2022-12-02
1659,2015-12-26
1660,2015-01-25
1661,2025-03-14
1662,2022-02-25
1664,2024-12-09
1666,2020-06-30
1667,2016-03-22
1668,2017-08-03
1669,2020-10-05
1670,2020-05-13
1671,2016-08-03
1673,2020-02-23
1675,2019-01-18
1676,2025-04-22
1678,2015-04-30
1679,2017-11-27
1680,2015-11-13
1681,2024-01-07
1682,2024-08-30
1684,2021-01-15
1685,2022-04-12
1686,2015-04-15
1687,2021-06-02
1688,2016-12-05
1690,2023-09-06
1691,2016-11-08
1692,2018-04-11
1693,2018-03-13
1696,2025-04-03
1697,2019-08-14
1698,2025-02-27
1699,2016-11-02
1700,2019-12-08
1701,2019-10-17
1702,2023-11-23
1703,2016-02-16
1706,2021-08-25
1707,2023-08-10
1708,2024-10-07
1709,2018-03-23
1711,2022-08-12
1712,2023-10-16
1713,2018-04-20
1714,2022-02-15
1715,2021-03-25
1716,2022-03-02
1718,2024-09-30
1719,2017-09-08
1720,2020-09-01
1722,2018-07-10
1723,2023-09-10
1724,2025-08-29
1725,2023-06-27
1728,2016-01-09
1731,2023-08-11
1732,2024-04-22
1733,2016-09-04
1736,2017-01-09
1737,2024-07-25
1740,2023-12-11
1741,2021-09-18
1742,2019-03-28
1743,2015-07-09
1744,2018-07-22
1745,2016-11-03
1746,2025-04-07
1747,2021-11-01
1750,2018-04-14
1751,2019-12-24
1752,2023-05-04
1753,2015-11-21
1754,2025-11-20
1755,2025-09-01
1756,2017-05-29
1757,2025-10-28
1758,2017-06-29
1759,2018-11-19
1760,2023-05-28
1761,2021-12-14
1762,2017-06-17
1763,2021-10-05
1764,2018-11-13
1765,2022-05-19
1766,2019-03-09
1767,2016-06-02
1769,2025-03-15
1772,2024-07-26
1774,2024-04-14
1775,2016-04-04
1776,2023-04-22
1777,2018-09-08
1778,2017-03-11
1779,2018-12-31
1780,2024-02-23
1781,2020-12-01
1783,2016-11-01
1784,2016-05-01
1785,2021-11-18
1786,2024-03-29
1787,2018-07-13
1788,2022-05-01
1790,2023-08-27
1792,2018-11-27
1795,2019-03-12
1796,2023-01-28
1797,2017-06-20
1798,2025-12-19
1801,2023-01-12
1802,2016-12-05
1803,2022-01-03
1804,2016-11-27
1805,2025-10-05
1806,2016-03-09
1807,2024-12-31
1809,2016-02-20
1812,2022-03-05
1814,2024-12-04
1816,2020-01-13
1820,2016-12-25
1824,2023-04-13
1825,2020-12-21
1827,2021-03-11
1828,2015-06-27
1829,2016-08-11
1830,2017-10-22
1832,2019-05-07
1836,2023-04-17
1837,2021-10-21
1839,2018-10-23
1841,2022-10-08
1842,2015-11-25
1843,2022-03-13
1844,2016-11-05
1845,2025-11-03
1846,2022-09-19
1847,2024-08-07
1850,2023-06-06
1852,2021-10-07
1853,2024-02-28
1854,2020-07-22
1856,2021-10-29
1859,2022-09-05
1860,2022-07-12
1861,2019-06-19
1862,2015-06-22
1863,2025-04-10
1864,2017-01-23
1865,2020-07-01
1866,2021-09-20
1867,2023-10-07
1869,2016-06-05
1871,2024-08-10
1872,2021-07-01
1873,2015-05-14
1874,2019-07-15
1875,2016-06-07
1878,2020-02-27
1879,2019-03-01
1880,2016-12-11
1881,2023-10-24
1883,2025-08-23
1884,2020-08-31
1886,2021-06-04
1887,2016-10-26
1888,2023-04-10
1890,2024-08-01
1893,2022-11-29
1897,2015-02-17
1898,2025-03-02
1899,2015-11-24
1901,2023-04-11
1903,2015-08-12
1904,2018-11-24
1907,2016-12-17
1909,2017-12-21
1910,2021-08-18
1912,2020-11-26
1913,2023-01-05
1914,2015-03-01
1915,2020-04-18
1917,2025-10-03
1918,2025-02-14
1919,2018-05-25
1921,2024-08-22
1922,2015-04-19
1923,2024-07-26
1924,2025-04-11
1925,2021-12-13
1927,2023-03-06
1928,2022-11-30
1930,2021-11-21
1933,2016-03-28
1934,2015-12-13
1935,2022-06-18
1941,2024-05-06
1942,2016-07-24
1943,2025-05-06
1946,2016-12-21
1947,2022-08-09
1948,2015-05-14
1949,2022-03-21
1951,2022-11-22
1953,2019-12-18
1954,2019-10-16
1956,2015-12-19
1957,2017-10-01
1958,2023-03-12
1959,2020-10-30
1960,2023-06-08
1961,2019-05-16
1962,2025-05-04
1963,2020-06-27
1964,2025-11-09
1966,2024-07-11
1969,2021-01-23
1970,2021-04-16
1971,2018-12-19
1972,2019-11-16
1974,2022-07-05
1975,2015-09-25
1976,2025-08-02
1977,2021-08-05
1979,2016-11-30
1980,2018-03-21
1982,2023-01-16
1984,2025-02-01
1985,2016-03-20
1989,2017-01-19
1991,2018-12-03
1992,2025-10-01
1993,2022-11-12
1994,2015-01-07
1995,2024-06-25
1997,2025-12-23
1998,2016-12-10
2001,2024-04-09
2002,2016-02-21
2003,2023-12-26
2004,2022-06-15
2005,2024-12-03
2007,2022-03-10
2008,2025-11-30
2009,2023-03-15
2010,2023-11-16
2011,2016-12-17
2012,2022-10-28
2014,2019-01-19
2015,2025-08-26
2016,2019-10-21
2018,2024-11-06
2019,2021-08-28
2020,2024-05-09
2021,2017-08-28
2022,2015-05-07
2023,2016-02-04
2027,2021-09-29
2031,2018-03-09
2032,2016-06-13
2034,2016-09-07
2035,2021-03-06
2037,2020-06-18
2038,2025-07-21
2043,2025-10-18
2044,2015-10-05
2045,2024-07-05
2046,2015-12-03
2047,2021-12-25
2048,2015-03-18
2049,2023-04-18
2050,2018-06-27
2051,2019-06-06
2055,2022-10-30
2056,2015-11-28
2057,2018-01-13
2059,2016-06-30
2060,2024-06-05
2062,2022-04-13
2064,2020-05-14
2065,2021-03-03
2066,2025-12-30
2067,2023-12-08
2069,2025-03-14
2070,2017-10-19
2072,2023-11-10
2075,2023-09-24
2076,2017-03-13
2078,2017-01-09
2079,2021-01-20
2082,2021-07-18
2083,2015-02-14
2084,2023-09-01
2085,2021-03-07
2087,2022-02-02
2088,2018-11-15
2090,2020-01-15
2091,2018-12-02
2093,2021-12-23
2095,2018-08-06
2096,2015-08-29
2097,2017-03-31
2098,2019-02-01
2100,2015-11-30
2101,2015-07-07
2103,2015-03-20
2104,2025-02-09
2106,2019-08-13
2107,2024-11-05
2108,2024-09-27
2109,2019-07-20
2110,2018-08-30
2112,2015-04-12
2113,2015-03-13
2114,2015-12-28
2115,2020-12-03
2117,2015-11-25
2118,2024-08-25
2119,2023-10-27
2121,2017-06-22
2122,2020-06-17
2123,2020-08-04
2124,2024-06-10
2125,2020-04-10
2126,2019-06-17
2129,2022-09-30
2130,2023-01-08
2132,2024-04-29
2133,2021-01-08
2135,2017-11-01
2136,2020-05-03
2138,2020-07-22
2141,2022-10-17
