original_index,scenario,reference_model,comparison_role,true_membership,model_loss,model_confidence,attack_score
1526,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.4194687,0.65739596,0.49926722
1560,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.8003094,0.16524774,0.46875682
1583,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0008544922,0.99914604,0.5018222
1635,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0013861656,0.9986146,0.5048981
1643,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.004712105,0.9952989,0.5061414
1647,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0017166138,0.998285,0.50489277
1654,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.78376055,0.45668542,0.49241763
1659,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0021162033,0.9978858,0.50619555
1675,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.2451427,0.28789982,0.49373704
1693,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0007505417,0.9992499,0.50507903
1699,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.008162355,0.9918709,0.50606954
1731,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.025095262,0.975217,0.50467306
1733,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,3.528595e-05,0.9999642,0.50509095
1752,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.3504452,0.70437443,0.49932975
1792,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.020171165,0.98003083,0.50459844
1801,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0054602623,0.9945547,0.5017945
1812,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.19109166,0.82605696,0.5007969
1814,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.3331784,0.7166423,0.49982518
1825,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0025610924,0.9974421,0.5050488
1859,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0013279915,0.99867296,0.5018194
1864,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.037516594,0.9631785,0.5018256
1866,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0016374588,0.99836373,0.5062055
1884,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.32406756,0.7232014,0.4997505
1953,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.32418358,0.7231176,0.4997487
1970,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.07042053,0.93200177,0.504772
1977,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00015163422,0.99984854,0.5062365
1982,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.023187637,0.9770792,0.5057564
1998,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.83834386,0.4324261,0.49646157
2136,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.22142601,0.80137527,0.50138795
2160,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.012833118,0.9872487,0.5019909
2174,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.4305115e-05,0.99998605,0.5050913
2180,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.2516799,0.7774936,0.5009053
2190,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.080357075,0.9227868,0.5037515
2227,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0031847954,0.99682015,0.50180817
2259,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.015889645,0.984236,0.5059085
2323,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.42998123,0.6505213,0.49924344
2346,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.14249396,0.8671928,0.5026471
2362,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.42122954,0.65623945,0.49820048
2392,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.20019817,0.8185686,0.5017266
2395,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.58192956,0.55881906,0.49833035
2431,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.002828598,0.9971756,0.50205797
2439,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.5180893,0.5956576,0.49860665
2468,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.005894184,0.99412304,0.5061168
2532,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0025286674,0.9974746,0.50618696
2556,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.004119396,0.9958891,0.5050228
2566,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.1006031,0.9042919,0.5033154
2738,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.6634763,0.51505774,0.49241173
2750,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.1557198,0.85579896,0.50243616
2759,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00010108948,0.999899,0.5050899
2810,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.033364773,0.9671856,0.5055443
2886,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.017116547,0.9830293,0.5017244
2917,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.0349977,0.35522723,0.48783338
2927,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0026845932,0.99731916,0.5048774
2941,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.006866932,0.99315643,0.50481063
2984,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.2995796,0.2726464,0.47916487
2988,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.5872401,0.5558592,0.49555227
3019,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.20313156,0.8161709,0.50071627
3078,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7669709,0.46441776,0.49721843
3113,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0070285797,0.9929961,0.50609314
3123,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0019025803,0.9980994,0.5020641
3143,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.4305115e-05,0.9999857,0.5050913
3144,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.6212463e-05,0.99998367,0.50182724
3161,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.055327415,0.9461752,0.50416887
3185,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.280506,0.7554014,0.500198
3189,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.68503934,0.5040704,0.49399227
3212,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.088750124,0.9150741,0.5014824
3235,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00041770935,0.9995826,0.5050846
3253,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.2183123,0.8038743,0.5005154
3268,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.024921417,0.9753865,0.50191
3279,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,6.198883e-05,0.99993783,0.50207645
3299,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.5993645,0.5491605,0.49806228
3308,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.021457195,0.9787713,0.50457793
3387,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.08601475,0.9175806,0.50444704
3424,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.9613956,0.3823589,0.48958477
3433,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.006242752,0.9937769,0.50610954
3459,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.013946533,0.9861504,0.505949
3479,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.08545039,0.9180987,0.5044588
3507,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00013256073,0.9998673,0.5050893
3526,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00095129013,0.99904907,0.5018216
3546,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.15366852,0.8575562,0.5010476
3574,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0029444695,0.9970599,0.5048732
3586,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.37096345,0.6900691,0.4989051
3614,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.016532898,0.98360324,0.501728
3668,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.024915218,0.9753927,0.50191
3688,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0014810562,0.99851996,0.5050668
3692,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.06343188,0.9385381,0.5039084
3744,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.24430966,0.783245,0.5010229
3748,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.84663415,0.42885596,0.49141493
3764,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.046215534,0.9548362,0.50527644
3766,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.5297645,0.21658671,0.49183097
3803,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.09820473,0.90646327,0.50123715
3843,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.023370028,0.9769009,0.50192034
3855,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0021915436,0.9978109,0.50505495
3882,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0007991791,0.9992011,0.50622296
3885,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.07470322,0.9280189,0.5013784
3906,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.7421911,0.17513633,0.49040854
4012,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.8912251,0.4101529,0.49610737
4027,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0034189224,0.9965869,0.50486565
4030,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.032018054,0.9684891,0.5016349
4041,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0007133484,0.9992869,0.5020721
4124,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.29182076,0.7469024,0.500225
4139,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.16904509,0.8444709,0.5027165
4209,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0012183189,0.9987823,0.50182
4218,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0031404495,0.99686426,0.5048701
4305,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.07711911,0.9257796,0.50156033
4364,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.07483244,0.927899,0.5037265
4391,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.03267598,0.9678521,0.50163096
4423,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.8744432,0.41709426,0.49657255
4438,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.26344347,0.768401,0.500749
4481,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00022411346,0.99977547,0.5049166
4499,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.646083,0.5240946,0.49431717
4521,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.09739399,0.90719855,0.50142455
4530,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.24109614,0.78576607,0.5010742
4569,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.015626907,0.9844944,0.5019722
4572,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.039193153,0.9615651,0.50542283
4598,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.015984058,0.984143,0.5059065
4607,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.014742851,0.9853654,0.5017387
4654,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00017929077,0.99982107,0.5018263
4667,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.06487155,0.93718797,0.50164235
4734,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.006588459,0.9934333,0.5061023
4739,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.3777546,0.2521441,0.48294768
4787,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.5546126,0.5742947,0.49584252
4845,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.325714,0.7220117,0.49989524
4867,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0003452301,0.99965465,0.5020746
5115,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.029827595,0.970613,0.50459415
5137,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.26680067,0.7658257,0.5006641
5171,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.043281317,0.95764184,0.5042298
5193,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.8896406,0.15112613,0.46690264
5203,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.014874458,0.9852358,0.50173795
5216,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0019817352,0.9980204,0.5020636
5224,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7662856,0.4647361,0.49231288
5279,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,2.45637,0.08574557,0.46418807
5291,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,2.5749207e-05,0.99997455,0.5020767
5300,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.17255926,0.84150845,0.5021675
5328,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.2563551,0.77386713,0.5008164
5343,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.013467766,0.9866225,0.5019867
5420,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.25052747,0.7783901,0.5003218
5451,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0020804405,0.9979215,0.5050568
5462,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.04559064,0.9554331,0.50155336
5511,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.016237259,0.9838937,0.50482076
5535,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.14661573,0.86362576,0.5010948
5545,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.33883172,0.7126024,0.49979123
5560,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.1984314,0.30166703,0.4812698
5589,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.6205758,0.5376348,0.49474248
5601,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.020778418,0.9794359,0.504745
5606,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.4106817,0.24397695,0.47685364
5617,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.28621635,0.75110006,0.50027436
5638,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.2169365,0.80498105,0.5005237
5690,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0029535294,0.99705064,0.5020571
5724,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0009198189,0.99908066,0.50622046
5762,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.008747101,0.9912912,0.5017747
5773,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0,1.0,0.50509155
5776,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.102880955,0.90223444,0.5033759
5785,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.043418646,0.9575105,0.5053348
5807,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,2.7179258,0.06601153,0.45985124
5822,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00070619583,0.99929404,0.50622493
5869,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.15429068,0.85702294,0.50302404
5901,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0048303604,0.9951813,0.50501096
5923,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.61087835,0.5428738,0.4935078
5924,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,8.9645386e-05,0.99991035,0.50207627
5958,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.2635411,0.28265136,0.4942346
6062,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0049829483,0.99502945,0.5050084
6131,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.3379328,0.26238748,0.4835823
6166,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.57597077,0.5621589,0.49548632
6212,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0660491,0.93608487,0.50486314
6218,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.29706714,0.7429941,0.5001375
6238,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.31318223,0.73111665,0.49994528
6243,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0006108284,0.9993891,0.5062269
6260,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.056557894,0.94501173,0.504018
6271,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.5585198,0.5720552,0.49847105
6295,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0,1.0,0.5049202
6388,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,3.2424927e-05,0.99996763,0.50491965
6408,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.019844294,0.9803514,0.5047606
6415,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00089788437,0.99910253,0.5049059
6504,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.76216733,0.46665397,0.49697182
6633,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.4035844,0.24571466,0.47700125
6634,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.19205368,0.82526255,0.50067323
6637,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.05894327,0.9427602,0.5014731
6644,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00066280365,0.9993376,0.50182337
6657,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,5.722046e-05,0.99994284,0.5050906
6682,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00029087067,0.9997093,0.5018256
6708,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00014781952,0.9998523,0.50491786
6716,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.52017355,0.5944174,0.4953981
6733,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.021930695,0.9783079,0.5047258
6739,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.030395508,0.9700617,0.50187325
6752,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.019505024,0.9806839,0.5047663
6803,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.008787632,0.9912507,0.50201803
6813,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.043083668,0.95783126,0.50534177
6828,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.07476258,0.92796373,0.5038448
6852,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.15819561,0.85368276,0.50245345
6857,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.02884674,0.9715652,0.5056385
6858,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0,1.0,0.50207686
6938,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.36002898,0.69765615,0.49908745
6972,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.3340853,0.26339898,0.48364356
6998,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.6318859,0.19556046,0.4911471
7023,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,1.5309415,0.21633188,0.49262798
7060,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.002081871,0.9979203,0.504887
7111,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.071755886,0.9307581,0.5037756
7126,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.1266904,0.88100636,0.5028992
7135,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,8.2969666e-05,0.99991745,0.5049189
7235,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.013222694,0.9868642,0.5019883
7256,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.17451179,0.839867,0.5007786
7314,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.22207093,0.80085856,0.5004928
7355,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.70712817,0.49305812,0.4936399
7367,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.062422752,0.9394855,0.5014522
7374,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0034561157,0.9965498,0.5050339
7416,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7964447,0.45092934,0.48964113
7422,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.0007162094,0.99928397,0.5062247
7433,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.028019667,0.9723693,0.50188917
7467,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.3408699,0.71115136,0.4991352
7503,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.34140944,0.71076787,0.49979004
7524,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7059271,0.49365067,0.4915271
7543,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,2.1086712,0.12139916,0.487955
7565,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.7533101,0.47080556,0.4929033
7574,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.13061237,0.877558,0.501202
7605,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.22773038,0.7963389,0.50045884
7732,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.38204926,0.6824614,0.49827695
7761,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.04428935,0.9566771,0.5015612
7792,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.17206824,0.8419218,0.50092435
7807,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.017355919,0.9827936,0.50196064
7848,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.015690327,0.9844324,0.50591266
7850,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,0.00840807,0.99162704,0.5017768
7877,s1_random_5_percent,baseline_original_model,member_s1_forget_record,1,7.724762e-05,0.99992275,0.50491893
