original_index,model_type,scenario,subset,true_historical_membership,true_class,model_probability,model_loss,negative_model_loss,true_class_confidence,max_probability,prediction_entropy,negative_entropy,probability_margin,correct_prediction,y_pred,shadow_model_id
17108,shadow_model,shadow_0,shadow_in,1,0,0.0055694147,0.005584717,-0.005584717,0.9944306,0.9944306,0.034461714,-0.034461714,0.49443057,1,0,0
4684,shadow_model,shadow_0,shadow_in,1,0,0.06485465,0.06705332,-0.06705332,0.9351454,0.9351454,0.24012138,-0.24012138,0.43514535,1,0,0
27857,shadow_model,shadow_0,shadow_in,1,1,0.7634355,0.2699266,-0.2699266,0.7634355,0.7634355,0.5470875,-0.5470875,0.26343548,1,1,0
46855,shadow_model,shadow_0,shadow_in,1,0,0.0641101,0.06625748,-0.06625748,0.9358899,0.9358899,0.23812994,-0.23812994,0.4358899,1,0,0
23902,shadow_model,shadow_0,shadow_in,1,1,0.777007,0.2523059,-0.2523059,0.777007,0.777007,0.53067017,-0.53067017,0.27700698,1,1,0
17562,shadow_model,shadow_0,shadow_in,1,1,0.20373707,1.590925,-1.590925,0.20373707,0.7962629,0.50553966,-0.50553966,0.29626292,0,0,0
16354,shadow_model,shadow_0,shadow_in,1,0,0.010934753,0.010994911,-0.010994911,0.98906523,0.98906523,0.060254026,-0.060254026,0.48906526,1,0,0
12725,shadow_model,shadow_0,shadow_in,1,0,0.02906827,0.029499054,-0.029499054,0.9709317,0.9709317,0.13148834,-0.13148834,0.47093174,1,0,0
62,shadow_model,shadow_0,shadow_in,1,0,0.08942138,0.09367514,-0.09367514,0.9105786,0.9105786,0.30119705,-0.30119705,0.4105786,1,0,0
37928,shadow_model,shadow_0,shadow_in,1,1,0.54826415,0.6009981,-0.6009981,0.54826415,0.54826415,0.6884811,-0.6884811,0.048264146,1,1,0
42202,shadow_model,shadow_0,shadow_in,1,0,0.43306872,0.5675171,-0.5675171,0.56693125,0.56693125,0.68416065,-0.68416065,0.06693128,1,0,0
30647,shadow_model,shadow_0,shadow_in,1,1,0.8518442,0.16035165,-0.16035165,0.8518442,0.8518442,0.41949677,-0.41949677,0.3518442,1,1,0
14373,shadow_model,shadow_0,shadow_in,1,0,0.0036137565,0.0036201477,-0.0036201477,0.99638623,0.99638623,0.023927411,-0.023927411,0.49638623,1,0,0
15898,shadow_model,shadow_0,shadow_in,1,0,0.0030078772,0.0030121803,-0.0030121803,0.9969921,0.9969921,0.020468662,-0.020468662,0.4969921,1,0,0
44427,shadow_model,shadow_0,shadow_in,1,0,0.21230352,0.23864245,-0.23864245,0.7876965,0.7876965,0.5169927,-0.5169927,0.28769648,1,0,0
32700,shadow_model,shadow_0,shadow_in,1,0,0.17266512,0.18954575,-0.18954575,0.8273349,0.8273349,0.46008703,-0.46008703,0.32733488,1,0,0
26527,shadow_model,shadow_0,shadow_in,1,0,0.27820966,0.3260206,-0.3260206,0.7217903,0.7217903,0.5912545,-0.5912545,0.22179034,1,0,0
1794,shadow_model,shadow_0,shadow_in,1,0,0.11315525,0.12008524,-0.12008524,0.88684475,0.88684475,0.35306174,-0.35306174,0.38684475,1,0,0
26628,shadow_model,shadow_0,shadow_in,1,1,0.18511145,1.6867971,-1.6867971,0.18511145,0.81488854,0.4790564,-0.4790564,0.31488854,0,0,0
37631,shadow_model,shadow_0,shadow_in,1,0,0.0018679606,0.0018696785,-0.0018696785,0.99813205,0.99813205,0.013602429,-0.013602429,0.49813205,1,0,0
1218,shadow_model,shadow_0,shadow_in,1,1,0.7466146,0.2922062,-0.2922062,0.7466146,0.7466146,0.56602395,-0.56602395,0.24661458,1,1,0
12214,shadow_model,shadow_0,shadow_in,1,0,0.064467445,0.06663942,-0.06663942,0.93553257,0.93553257,0.23908688,-0.23908688,0.43553257,1,0,0
28886,shadow_model,shadow_0,shadow_in,1,1,0.75178367,0.28530666,-0.28530666,0.75178367,0.75178367,0.5603671,-0.5603671,0.25178367,1,1,0
34611,shadow_model,shadow_0,shadow_in,1,0,0.18318604,0.20234382,-0.20234382,0.81681395,0.81681395,0.4761904,-0.4761904,0.31681395,1,0,0
39928,shadow_model,shadow_0,shadow_in,1,0,0.1392883,0.14999568,-0.14999568,0.8607117,0.8607117,0.40366945,-0.40366945,0.3607117,1,0,0
16154,shadow_model,shadow_0,shadow_in,1,0,0.63400865,1.0051457,-1.0051457,0.36599135,0.63400865,0.6567877,-0.6567877,0.13400865,0,1,0
6714,shadow_model,shadow_0,shadow_in,1,0,0.030250369,0.030717373,-0.030717373,0.9697496,0.9697496,0.1356114,-0.1356114,0.46974963,1,0,0
17852,shadow_model,shadow_0,shadow_in,1,1,0.80064344,0.22233956,-0.22233956,0.80064344,0.80064344,0.49950913,-0.49950913,0.30064344,1,1,0
22030,shadow_model,shadow_0,shadow_in,1,0,0.31099063,0.37250048,-0.37250048,0.68900937,0.68900937,0.61989105,-0.61989105,0.18900937,1,0,0
201,shadow_model,shadow_0,shadow_in,1,0,0.73580647,1.3310733,-1.3310733,0.26419353,0.73580647,0.5773977,-0.5773977,0.23580647,0,1,0
8998,shadow_model,shadow_0,shadow_in,1,0,0.014279114,0.0143818855,-0.0143818855,0.9857209,0.9857209,0.07484803,-0.07484803,0.48572087,1,0,0
2145,shadow_model,shadow_0,shadow_in,1,0,0.014209588,0.014311314,-0.014311314,0.98579043,0.98579043,0.07455342,-0.07455342,0.4857904,1,0,0
10378,shadow_model,shadow_0,shadow_in,1,1,0.3145441,1.156631,-1.156631,0.3145441,0.6854559,0.62268835,-0.62268835,0.18545589,0,0,0
35319,shadow_model,shadow_0,shadow_in,1,0,0.05087989,0.052219868,-0.052219868,0.9491201,0.9491201,0.20109792,-0.20109792,0.4491201,1,0,0
24460,shadow_model,shadow_0,shadow_in,1,0,0.009433166,0.009478092,-0.009478092,0.99056685,0.99056685,0.05338031,-0.05338031,0.49056682,1,0,0
40319,shadow_model,shadow_0,shadow_in,1,1,0.87806857,0.13003057,-0.13003057,0.87806857,0.87806857,0.37075564,-0.37075564,0.37806857,1,1,0
4953,shadow_model,shadow_0,shadow_in,1,0,0.00944913,0.009493828,-0.009493828,0.9905509,0.9905509,0.053454604,-0.053454604,0.49055088,1,0,0
36993,shadow_model,shadow_0,shadow_in,1,0,0.18944652,0.21003783,-0.21003783,0.8105535,0.8105535,0.48541942,-0.48541942,0.3105535,1,0,0
22667,shadow_model,shadow_0,shadow_in,1,0,0.0060736435,0.0060920715,-0.0060920715,0.99392635,0.99392635,0.037053812,-0.037053812,0.49392635,1,0,0
3475,shadow_model,shadow_0,shadow_in,1,0,0.46308696,0.6219191,-0.6219191,0.53691304,0.53691304,0.69041955,-0.69041955,0.036913037,1,0,0
20825,shadow_model,shadow_0,shadow_in,1,0,0.0030676343,0.0030722618,-0.0030722618,0.9969324,0.9969324,0.020814838,-0.020814838,0.49693236,1,0,0
35368,shadow_model,shadow_0,shadow_in,1,0,0.050468553,0.05178666,-0.05178666,0.94953144,0.94953144,0.19989258,-0.19989258,0.44953144,1,0,0
17280,shadow_model,shadow_0,shadow_in,1,1,0.8723566,0.136557,-0.136557,0.8723566,0.8723566,0.38188225,-0.38188225,0.3723566,1,1,0
4577,shadow_model,shadow_0,shadow_in,1,1,0.55985934,0.5800696,-0.5800696,0.55985934,0.55985934,0.6859637,-0.6859637,0.059859335,1,1,0
13252,shadow_model,shadow_0,shadow_in,1,0,0.006009614,0.0060276985,-0.0060276985,0.99399036,0.99399036,0.036727082,-0.036727082,0.4939904,1,0,0
18598,shadow_model,shadow_0,shadow_in,1,0,0.08358524,0.087286234,-0.087286234,0.91641474,0.91641474,0.28743964,-0.28743964,0.41641477,1,0,0
31242,shadow_model,shadow_0,shadow_in,1,0,0.72569555,1.2935168,-1.2935168,0.27430445,0.72569555,0.5874933,-0.5874933,0.22569555,0,1,0
17779,shadow_model,shadow_0,shadow_in,1,1,0.4165613,0.8757217,-0.8757217,0.4165613,0.5834387,0.6791578,-0.6791578,0.083438694,0,0,0
44711,shadow_model,shadow_0,shadow_in,1,0,0.013403483,0.013494015,-0.013494015,0.9865965,0.9865965,0.07111228,-0.07111228,0.48659652,1,0,0
14455,shadow_model,shadow_0,shadow_in,1,0,0.09534995,0.10020709,-0.10020709,0.90465003,0.90465003,0.31474397,-0.31474397,0.40465003,1,0,0
42586,shadow_model,shadow_0,shadow_in,1,1,0.7488817,0.28917426,-0.28917426,0.7488817,0.7488817,0.5635604,-0.5635604,0.2488817,1,1,0
28878,shadow_model,shadow_0,shadow_in,1,1,0.8270556,0.18988338,-0.18988338,0.8270556,0.8270556,0.46052438,-0.46052438,0.32705557,1,1,0
40466,shadow_model,shadow_0,shadow_in,1,0,0.3307962,0.40166664,-0.40166664,0.66920376,0.66920376,0.63474107,-0.63474107,0.16920379,1,0,0
25587,shadow_model,shadow_0,shadow_in,1,1,0.9001938,0.1051452,-0.1051452,0.9001938,0.9001938,0.32465693,-0.32465693,0.4001938,1,1,0
23543,shadow_model,shadow_0,shadow_in,1,0,0.012952896,0.013037682,-0.013037682,0.9870471,0.9870471,0.06916761,-0.06916761,0.4870471,1,0,0
7086,shadow_model,shadow_0,shadow_in,1,0,0.008713439,0.008751392,-0.008751392,0.9912866,0.9912866,0.050002225,-0.050002225,0.49128658,1,0,0
30239,shadow_model,shadow_0,shadow_in,1,0,0.0023411592,0.0023436546,-0.0023436546,0.99765885,0.99765885,0.016519064,-0.016519064,0.49765885,1,0,0
25213,shadow_model,shadow_0,shadow_in,1,0,0.005452764,0.0054678917,-0.0054678917,0.99454725,0.99454725,0.033855665,-0.033855665,0.49454725,1,0,0
48095,shadow_model,shadow_0,shadow_in,1,0,0.00415608,0.0041646957,-0.0041646957,0.99584395,0.99584395,0.026935952,-0.026935952,0.49584392,1,0,0
7253,shadow_model,shadow_0,shadow_in,1,0,0.015401967,0.015522003,-0.015522003,0.98459804,0.98459804,0.07955915,-0.07955915,0.48459804,1,0,0
9011,shadow_model,shadow_0,shadow_in,1,0,0.049848814,0.05113411,-0.05113411,0.9501512,0.9501512,0.19806984,-0.19806984,0.45015118,1,0,0
10271,shadow_model,shadow_0,shadow_in,1,0,0.6544417,1.0625938,-1.0625938,0.3455583,0.6544417,0.64465356,-0.64465356,0.15444171,0,1,0
37002,shadow_model,shadow_0,shadow_in,1,0,0.0088120205,0.008851051,-0.008851051,0.991188,0.991188,0.050468367,-0.050468367,0.491188,1,0,0
24500,shadow_model,shadow_0,shadow_in,1,0,0.3087425,0.3692428,-0.3692428,0.6912575,0.6912575,0.61809087,-0.61809087,0.1912575,1,0,0
6730,shadow_model,shadow_0,shadow_in,1,0,0.0086906105,0.008728504,-0.008728504,0.9913094,0.9913094,0.049894117,-0.049894117,0.4913094,1,0,0
36776,shadow_model,shadow_0,shadow_in,1,0,0.007934567,0.007966042,-0.007966042,0.9920654,0.9920654,0.046278745,-0.046278745,0.49206543,1,0,0
37304,shadow_model,shadow_0,shadow_in,1,1,0.27927712,1.2755508,-1.2755508,0.27927712,0.7207229,0.5922693,-0.5922693,0.22072288,0,0,0
27216,shadow_model,shadow_0,shadow_in,1,1,0.62502253,0.46996757,-0.46996757,0.62502253,0.62502253,0.6615517,-0.6615517,0.12502253,1,1,0
44346,shadow_model,shadow_0,shadow_in,1,0,0.050133552,0.0514338,-0.0514338,0.9498665,0.9498665,0.19890827,-0.19890827,0.44986644,1,0,0
15741,shadow_model,shadow_0,shadow_in,1,1,0.66982347,0.40074104,-0.40074104,0.66982347,0.66982347,0.63430357,-0.63430357,0.16982347,1,1,0
47588,shadow_model,shadow_0,shadow_in,1,0,0.069549754,0.07208657,-0.07208657,0.93045026,0.93045026,0.25247273,-0.25247273,0.43045026,1,0,0
37070,shadow_model,shadow_0,shadow_in,1,0,0.0114688175,0.011535168,-0.011535168,0.9885312,0.9885312,0.062646896,-0.062646896,0.48853117,1,0,0
1559,shadow_model,shadow_0,shadow_in,1,0,0.56821847,0.8398356,-0.8398356,0.43178153,0.56821847,0.6838106,-0.6838106,0.06821847,0,1,0
21958,shadow_model,shadow_0,shadow_in,1,0,0.036284953,0.036959648,-0.036959648,0.9637151,0.9637151,0.1559522,-0.1559522,0.46371505,1,0,0
19112,shadow_model,shadow_0,shadow_in,1,0,0.63499504,1.0078442,-1.0078442,0.36500496,0.63499504,0.6562436,-0.6562436,0.13499504,0,1,0
31314,shadow_model,shadow_0,shadow_in,1,0,0.005775869,0.005792618,-0.005792618,0.99422413,0.99422413,0.03552837,-0.03552837,0.49422413,1,0,0
799,shadow_model,shadow_0,shadow_in,1,1,0.47253075,0.7496524,-0.7496524,0.47253075,0.5274693,0.6916373,-0.6916373,0.027469248,0,0,0
23956,shadow_model,shadow_0,shadow_in,1,0,0.3425857,0.41944075,-0.41944075,0.6574143,0.6574143,0.64273566,-0.64273566,0.15741429,1,0,0
36973,shadow_model,shadow_0,shadow_in,1,0,0.17193042,0.18865812,-0.18865812,0.82806957,0.82806957,0.45893395,-0.45893395,0.32806957,1,0,0
36041,shadow_model,shadow_0,shadow_in,1,1,0.29826492,1.2097732,-1.2097732,0.29826492,0.7017351,0.609387,-0.609387,0.20173508,0,0,0
7405,shadow_model,shadow_0,shadow_in,1,0,0.007170636,0.0071964264,-0.0071964264,0.9928294,0.9928294,0.042551734,-0.042551734,0.49282935,1,0,0
22876,shadow_model,shadow_0,shadow_in,1,1,0.8707006,0.13845712,-0.13845712,0.8707006,0.8707006,0.38505274,-0.38505274,0.3707006,1,1,0
10403,shadow_model,shadow_0,shadow_in,1,1,0.81943834,0.19913615,-0.19913615,0.81943834,0.81943834,0.47224408,-0.47224408,0.31943834,1,1,0
8624,shadow_model,shadow_0,shadow_in,1,0,0.25830367,0.29881537,-0.29881537,0.74169636,0.74169636,0.5712751,-0.5712751,0.24169633,1,0,0
9267,shadow_model,shadow_0,shadow_in,1,1,0.25920632,1.350131,-1.350131,0.25920632,0.7407937,0.5722251,-0.5722251,0.24079368,0,0,0
7254,shadow_model,shadow_0,shadow_in,1,1,0.3580421,1.0271047,-1.0271047,0.3580421,0.6419579,0.65228343,-0.65228343,0.14195791,0,0,0
19082,shadow_model,shadow_0,shadow_in,1,0,0.0012022663,0.0012030602,-0.0012030602,0.9987977,0.9987977,0.009285057,-0.009285057,0.49879774,1,0,0
15339,shadow_model,shadow_0,shadow_in,1,1,0.73513657,0.307699,-0.307699,0.73513657,0.73513657,0.5780827,-0.5780827,0.23513657,1,1,0
38485,shadow_model,shadow_0,shadow_in,1,1,0.68150425,0.38345274,-0.38345274,0.68150425,0.68150425,0.6257304,-0.6257304,0.18150425,1,1,0
45262,shadow_model,shadow_0,shadow_in,1,0,0.07399131,0.07687163,-0.07687163,0.9260087,0.9260087,0.26384297,-0.26384297,0.4260087,1,0,0
24471,shadow_model,shadow_0,shadow_in,1,0,0.006724718,0.006747246,-0.006747246,0.9932753,0.9932753,0.04033886,-0.04033886,0.49327528,1,0,0
25503,shadow_model,shadow_0,shadow_in,1,0,0.010458959,0.0105137825,-0.0105137825,0.98954105,0.98954105,0.058100015,-0.058100015,0.48954105,1,0,0
20977,shadow_model,shadow_0,shadow_in,1,0,0.21713538,0.24479544,-0.24479544,0.78286463,0.78286463,0.5232583,-0.5232583,0.28286463,1,0,0
30327,shadow_model,shadow_0,shadow_in,1,0,0.035532653,0.036179304,-0.036179304,0.96446735,0.96446735,0.153477,-0.153477,0.46446735,1,0,0
5404,shadow_model,shadow_0,shadow_in,1,1,0.42185175,0.86310136,-0.86310136,0.42185175,0.57814825,0.68088263,-0.68088263,0.078148246,0,0,0
17963,shadow_model,shadow_0,shadow_in,1,1,0.9987343,0.0012665116,-0.0012665116,0.9987343,0.9987343,0.009709844,-0.009709844,0.4987343,1,1,0
37795,shadow_model,shadow_0,shadow_in,1,1,0.7659981,0.26657555,-0.26657555,0.7659981,0.7659981,0.5440668,-0.5440668,0.26599813,1,1,0
41648,shadow_model,shadow_0,shadow_in,1,0,0.01907885,0.019263268,-0.019263268,0.98092115,0.98092115,0.09443218,-0.09443218,0.48092115,1,0,0
15862,shadow_model,shadow_0,shadow_in,1,0,0.0030866486,0.0030913353,-0.0030913353,0.9969134,0.9969134,0.020924753,-0.020924753,0.49691334,1,0,0
16836,shadow_model,shadow_0,shadow_in,1,0,0.019156469,0.019342422,-0.019342422,0.98084354,0.98084354,0.09473782,-0.09473782,0.48084354,1,0,0
45102,shadow_model,shadow_0,shadow_in,1,0,0.052915692,0.054367065,-0.054367065,0.9470843,0.9470843,0.20701244,-0.20701244,0.4470843,1,0,0
156,shadow_model,shadow_0,shadow_in,1,0,0.0088502485,0.008889675,-0.008889675,0.9911497,0.9911497,0.050648864,-0.050648864,0.49114975,1,0,0
29435,shadow_model,shadow_0,shadow_in,1,0,0.19281809,0.21420622,-0.21420622,0.8071819,0.8071819,0.49028352,-0.49028352,0.3071819,1,0,0
32618,shadow_model,shadow_0,shadow_in,1,1,0.23003688,1.4695154,-1.4695154,0.23003688,0.76996315,0.5393209,-0.5393209,0.26996312,0,0,0
46700,shadow_model,shadow_0,shadow_in,1,0,0.002697564,0.0027012825,-0.0027012825,0.9973024,0.9973024,0.018651132,-0.018651132,0.49730244,1,0,0
15912,shadow_model,shadow_0,shadow_in,1,1,0.23779337,1.4363532,-1.4363532,0.23779337,0.7622066,0.548523,-0.548523,0.2622066,0,0,0
363,shadow_model,shadow_0,shadow_in,1,0,0.06809395,0.07052326,-0.07052326,0.93190604,0.93190604,0.24868044,-0.24868044,0.43190604,1,0,0
38546,shadow_model,shadow_0,shadow_in,1,0,0.8015999,1.6174699,-1.6174699,0.19840008,0.8015999,0.49817646,-0.49817646,0.30159992,0,1,0
7870,shadow_model,shadow_0,shadow_in,1,0,0.037526596,0.038248777,-0.038248777,0.9624734,0.9624734,0.16000226,-0.16000226,0.4624734,1,0,0
44924,shadow_model,shadow_0,shadow_in,1,0,0.051374014,0.052740574,-0.052740574,0.948626,0.948626,0.20254123,-0.20254123,0.44862598,1,0,0
32222,shadow_model,shadow_0,shadow_in,1,0,0.76768506,1.4596611,-1.4596611,0.23231494,0.76768506,0.5420584,-0.5420584,0.26768506,0,1,0
12023,shadow_model,shadow_0,shadow_in,1,0,0.01661,0.016749382,-0.016749382,0.98339,0.98339,0.08453494,-0.08453494,0.48339,1,0,0
42156,shadow_model,shadow_0,shadow_in,1,0,0.02259907,0.022858381,-0.022858381,0.97740096,0.97740096,0.107988745,-0.107988745,0.47740093,1,0,0
41600,shadow_model,shadow_0,shadow_in,1,1,0.21156308,1.5532321,-1.5532321,0.21156308,0.7884369,0.5160203,-0.5160203,0.28843692,0,0,0
15052,shadow_model,shadow_0,shadow_in,1,0,0.013575355,0.013668537,-0.013668537,0.9864246,0.9864246,0.07185004,-0.07185004,0.48642465,1,0,0
21350,shadow_model,shadow_0,shadow_in,1,1,0.41342235,0.88328564,-0.88328564,0.41342235,0.58657765,0.67807996,-0.67807996,0.086577654,0,0,0
45124,shadow_model,shadow_0,shadow_in,1,0,0.004560766,0.004571438,-0.004571438,0.99543923,0.99543923,0.029134087,-0.029134087,0.49543923,1,0,0
27672,shadow_model,shadow_0,shadow_in,1,0,0.29292157,0.34661365,-0.34661365,0.70707846,0.70707846,0.6047469,-0.6047469,0.20707843,1,0,0
3706,shadow_model,shadow_0,shadow_in,1,0,0.011821417,0.011891842,-0.011891842,0.9881786,0.9881786,0.06421283,-0.06421283,0.48817858,1,0,0
17629,shadow_model,shadow_0,shadow_in,1,1,0.80237913,0.22017406,-0.22017406,0.80237913,0.80237913,0.49708652,-0.49708652,0.30237913,1,1,0
46991,shadow_model,shadow_0,shadow_in,1,0,0.008974238,0.0090146065,-0.0090146065,0.99102575,0.99102575,0.051233012,-0.051233012,0.49102578,1,0,0
2416,shadow_model,shadow_0,shadow_in,1,0,0.1402311,0.15109158,-0.15109158,0.85976887,0.85976887,0.4053828,-0.4053828,0.3597689,1,0,0
19743,shadow_model,shadow_0,shadow_in,1,0,0.04236692,0.043290615,-0.043290615,0.9576331,0.9576331,0.17539473,-0.17539473,0.45763308,1,0,0
20248,shadow_model,shadow_0,shadow_in,1,0,0.069306284,0.07182503,-0.07182503,0.93069375,0.93069375,0.25184077,-0.25184077,0.43069372,1,0,0
2997,shadow_model,shadow_0,shadow_in,1,0,0.07570517,0.078724146,-0.078724146,0.9242948,0.9242948,0.26815248,-0.26815248,0.42429483,1,0,0
6310,shadow_model,shadow_0,shadow_in,1,0,0.013142837,0.013229847,-0.013229847,0.9868572,0.9868572,0.06998924,-0.06998924,0.48685718,1,0,0
30400,shadow_model,shadow_0,shadow_in,1,0,0.01128079,0.01134491,-0.01134491,0.9887192,0.9887192,0.061807346,-0.061807346,0.48871922,1,0,0
6593,shadow_model,shadow_0,shadow_in,1,0,0.006381203,0.006401539,-0.006401539,0.9936188,0.9936188,0.038613953,-0.038613953,0.4936188,1,0,0
20233,shadow_model,shadow_0,shadow_in,1,1,0.46826464,0.7587216,-0.7587216,0.46826464,0.53173536,0.6911316,-0.6911316,0.03173536,0,0,0
26638,shadow_model,shadow_0,shadow_in,1,0,0.105228014,0.111186266,-0.111186266,0.894772,0.894772,0.33642054,-0.33642054,0.394772,1,0,0
1967,shadow_model,shadow_0,shadow_in,1,1,0.7674652,0.26466215,-0.26466215,0.7674652,0.7674652,0.5423211,-0.5423211,0.26746517,1,1,0
31857,shadow_model,shadow_0,shadow_in,1,1,0.87810606,0.12998787,-0.12998787,0.87810606,0.87810606,0.37068164,-0.37068164,0.37810606,1,1,0
34351,shadow_model,shadow_0,shadow_in,1,0,0.026208244,0.026557922,-0.026557922,0.9737918,0.9737918,0.12130382,-0.12130382,0.47379175,1,0,0
