train_index,audition_id,callback,shard,slice,actor_role_key
1046,AU001047,0,4,2,A001|RL0430
58600,AU058601,0,1,1,A098|RL0201
47798,AU047799,1,1,2,A080|RL0841
59559,AU059560,0,2,2,A100|RL0292
25123,AU025124,1,1,4,A040|RL0242
47646,AU047647,0,1,2,A079|RL0226
42938,AU042939,1,4,2,A071|RL0798
255,AU000256,0,4,2,A001|RL0246
6389,AU006390,0,1,2,A007|RL0252
1243,AU001244,0,1,3,A001|RL0434
26122,AU026123,1,4,1,A041|RL0011
49520,AU049521,0,5,3,A083|RL0170
19649,AU019650,1,5,3,A030|RL0486
17211,AU017212,0,1,1,A026|RL0027
11654,AU011655,1,4,4,A016|RL1191
49966,AU049967,1,2,2,A083|RL0299
44634,AU044635,1,3,2,A074|RL0678
52639,AU052640,0,4,1,A088|RL1111
30486,AU030487,0,5,4,A049|RL0391
10076,AU010077,0,2,4,A014|RL1197
17901,AU017902,0,2,5,A027|RL0605
46298,AU046299,1,1,5,A077|RL0965
4101,AU004102,0,4,2,A003|RL1043
754,AU000755,0,3,5,A001|RL0472
16088,AU016089,0,5,1,A024|RL1185
56826,AU056827,0,5,3,A095|RL0825
46307,AU046308,1,3,5,A077|RL0006
21952,AU021953,1,4,5,A034|RL0055
25471,AU025472,1,5,2,A040|RL0369
33219,AU033220,0,2,5,A054|RL0173
38528,AU038529,0,3,5,A063|RL0297
27464,AU027465,0,3,2,A044|RL0723
266,AU000267,0,4,2,A001|RL0510
20466,AU020467,0,1,1,A031|RL0587
9439,AU009440,0,2,3,A013|RL1184
16625,AU016626,1,1,4,A025|RL1194
16376,AU016377,0,5,2,A024|RL1185
22942,AU022943,1,3,4,A036|RL0076
43622,AU043623,0,1,3,A072|RL0081
31387,AU031388,0,3,2,A051|RL0626
33406,AU033407,0,5,2,A054|RL1136
32097,AU032098,1,5,1,A052|RL0509
10944,AU010945,1,5,3,A015|RL1177
4675,AU004676,0,5,3,A004|RL0012
59507,AU059508,0,5,1,A100|RL0219
8457,AU008458,0,4,4,A011|RL1186
9216,AU009217,0,2,3,A012|RL1177
13174,AU013175,1,5,2,A019|RL1199
23447,AU023448,0,2,4,A037|RL0914
56622,AU056623,0,3,5,A095|RL0629
3761,AU003762,0,3,1,A003|RL1108
25290,AU025291,0,3,5,A040|RL0725
620,AU000621,0,1,1,A001|RL0781
13454,AU013455,0,5,4,A019|RL1191
47647,AU047648,1,3,4,A079|RL0250
34923,AU034924,0,1,1,A057|RL0173
37181,AU037182,1,5,5,A061|RL1060
35455,AU035456,0,3,1,A058|RL0484
27989,AU027990,1,1,5,A045|RL0866
14967,AU014968,0,5,2,A022|RL1192
40710,AU040711,1,3,1,A067|RL0583
56819,AU056820,1,1,5,A095|RL0657
17803,AU017804,0,1,3,A027|RL0603
9078,AU009079,0,1,2,A012|RL1183
27350,AU027351,1,3,4,A044|RL0337
51745,AU051746,0,4,5,A087|RL0313
21583,AU021584,0,2,5,A033|RL0131
23759,AU023760,0,2,5,A037|RL0177
21161,AU021162,1,5,2,A033|RL0578
43219,AU043220,0,4,4,A071|RL0492
10829,AU010830,0,4,1,A015|RL1182
39199,AU039200,0,2,4,A064|RL0443
24291,AU024292,1,5,1,A038|RL0488
41448,AU041449,1,5,4,A068|RL1162
39735,AU039736,1,3,5,A065|RL0874
25722,AU025723,0,5,3,A041|RL0986
34926,AU034927,1,3,3,A057|RL0245
52193,AU052194,0,3,1,A087|RL0490
27841,AU027842,0,2,1,A044|RL0371
10660,AU010661,1,5,2,A015|RL1181
30714,AU030715,1,1,4,A049|RL1163
47179,AU047180,0,4,5,A078|RL0276
39477,AU039478,0,1,5,A065|RL0557
25513,AU025514,1,2,2,A040|RL0202
12670,AU012671,0,4,4,A018|RL1199
41796,AU041797,0,5,4,A069|RL0606
19604,AU019605,1,2,2,A030|RL0581
8510,AU008511,1,2,2,A011|RL1191
44525,AU044526,0,4,3,A074|RL0412
716,AU000717,0,4,1,A001|RL0735
49090,AU049091,1,5,4,A082|RL1108
5540,AU005541,1,4,4,A006|RL0558
53670,AU053671,0,5,1,A090|RL0989
24441,AU024442,0,1,4,A038|RL0563
14915,AU014916,0,1,2,A022|RL1188
2124,AU002125,0,4,5,A001|RL0428
4228,AU004229,0,3,5,A004|RL1034
36251,AU036252,0,3,4,A059|RL0081
13607,AU013608,0,3,3,A020|RL1200
49395,AU049396,1,1,3,A082|RL0203
39988,AU039989,0,4,2,A066|RL0388
16507,AU016508,0,5,4,A024|RL1196
47099,AU047100,1,1,1,A078|RL0706
47455,AU047456,1,1,3,A079|RL0342
32936,AU032937,0,4,1,A053|RL1138
11506,AU011507,0,4,4,A016|RL1187
51341,AU051342,0,2,3,A086|RL0700
49596,AU049597,0,5,5,A083|RL0819
26322,AU026323,1,1,5,A042|RL0579
57248,AU057249,0,2,2,A096|RL0078
10352,AU010353,0,5,4,A014|RL1185
2154,AU002155,1,4,1,A001|RL1148
52592,AU052593,0,1,1,A088|RL1158
51624,AU051625,1,5,3,A086|RL0442
47081,AU047082,1,3,1,A078|RL0274
38052,AU038053,0,4,4,A062|RL0131
8857,AU008858,0,3,1,A012|RL1178
58219,AU058220,0,2,5,A098|RL0457
47017,AU047018,1,4,5,A078|RL1088
14024,AU014025,1,5,1,A020|RL1185
28429,AU028430,0,3,4,A045|RL0851
40330,AU040331,1,1,2,A066|RL0371
22731,AU022732,0,4,1,A035|RL0419
50577,AU050578,0,1,1,A084|RL0180
40156,AU040157,0,3,5,A066|RL0895
23984,AU023985,1,5,5,A038|RL0170
207,AU000208,0,3,1,A001|RL0269
20311,AU020312,0,5,5,A031|RL0392
836,AU000837,0,5,3,A001|RL0090
52682,AU052683,0,4,3,A088|RL0968
12629,AU012630,1,3,4,A018|RL1182
54874,AU054875,0,1,2,A092|RL0702
39915,AU039916,1,4,4,A066|RL0986
41064,AU041065,1,2,4,A068|RL0171
5662,AU005663,1,4,2,A006|RL1136
6869,AU006870,0,5,2,A008|RL0490
20819,AU020820,0,3,3,A032|RL0127
45317,AU045318,1,5,5,A075|RL1112
32852,AU032853,0,1,3,A053|RL0297
45575,AU045576,0,2,1,A076|RL0746
1333,AU001334,0,5,1,A001|RL0244
19529,AU019530,0,3,3,A030|RL1131
8772,AU008773,1,2,4,A012|RL1189
40425,AU040426,0,3,4,A067|RL0793
59103,AU059104,0,3,5,A099|RL0223
45336,AU045337,0,5,2,A075|RL0393
17183,AU017184,0,2,1,A026|RL0530
28446,AU028447,0,4,2,A045|RL0084
57340,AU057341,0,3,1,A096|RL1111
40297,AU040298,0,4,4,A066|RL0754
26629,AU026630,0,4,3,A042|RL0897
26022,AU026023,1,5,3,A041|RL1136
6143,AU006144,0,3,2,A007|RL0223
21677,AU021678,0,2,4,A034|RL0505
39729,AU039730,1,2,1,A065|RL0730
29145,AU029146,1,1,4,A047|RL0171
58694,AU058695,1,5,3,A098|RL0107
17982,AU017983,0,3,3,A027|RL0199
27155,AU027156,1,3,3,A043|RL1064
52761,AU052762,0,3,4,A088|RL0514
22967,AU022968,1,4,1,A036|RL0676
34189,AU034190,0,4,3,A056|RL0889
363,AU000364,1,3,4,A001|RL0488
8769,AU008770,0,3,3,A012|RL1186
55855,AU055856,0,5,4,A094|RL0146
19362,AU019363,1,5,5,A029|RL0180
37717,AU037718,1,1,1,A062|RL0316
29243,AU029244,1,5,1,A047|RL0173
24143,AU024144,0,3,5,A038|RL0461
32984,AU032985,0,5,1,A053|RL1115
20663,AU020664,1,5,5,A032|RL1083
17375,AU017376,0,4,1,A026|RL0438
10769,AU010770,1,4,5,A015|RL1194
10242,AU010243,0,5,3,A014|RL1195
30120,AU030121,0,4,2,A048|RL0539
50980,AU050981,0,2,1,A085|RL0944
41625,AU041626,0,1,2,A069|RL0027
2004,AU002005,0,5,4,A001|RL1073
39953,AU039954,0,1,4,A066|RL0723
51185,AU051186,0,1,2,A086|RL0481
38148,AU038149,0,3,4,A063|RL0577
46074,AU046075,0,2,4,A077|RL0289
2133,AU002134,0,5,2,A001|RL0644
27736,AU027737,0,3,4,A044|RL0201
58806,AU058807,1,3,1,A099|RL0145
25862,AU025863,1,4,3,A041|RL0821
30123,AU030124,0,2,2,A048|RL0611
15575,AU015576,0,4,4,A023|RL1200
6197,AU006198,1,3,1,A007|RL0344
14459,AU014460,1,1,3,A021|RL1188
10153,AU010154,0,1,4,A014|RL1178
5110,AU005111,1,3,2,A005|RL0345
58753,AU058754,0,2,1,A098|RL0348
2597,AU002598,0,5,2,A001|RL0006
12925,AU012926,0,1,3,A019|RL1190
8833,AU008834,0,3,5,A012|RL1178
43906,AU043907,0,2,4,A073|RL0339
5277,AU005278,1,1,3,A006|RL0121
26274,AU026275,0,3,1,A042|RL0602
41394,AU041395,0,1,3,A068|RL1041
12114,AU012115,0,2,3,A017|RL1195
49171,AU049172,1,3,2,A082|RL0702
7098,AU007099,1,3,5,A009|RL0579
30371,AU030372,1,5,4,A049|RL1156
15834,AU015835,0,5,5,A023|RL1195
49169,AU049170,0,4,1,A082|RL0654
20291,AU020292,0,4,1,A031|RL1087
5905,AU005906,0,2,4,A007|RL0386
57079,AU057080,0,5,4,A096|RL0722
51955,AU051956,1,3,5,A087|RL0653
12185,AU012186,0,2,1,A017|RL1194
42268,AU042269,1,2,5,A070|RL0676
5380,AU005381,1,1,5,A006|RL0243
19245,AU019246,0,1,5,A029|RL0897
34206,AU034207,1,4,2,A056|RL0122
514,AU000515,0,3,5,A001|RL0587
6007,AU006008,0,5,5,A007|RL0484
28973,AU028974,1,2,5,A046|RL0275
30382,AU030383,1,3,3,A049|RL0245
11051,AU011052,0,1,5,A015|RL1188
47063,AU047064,0,4,3,A078|RL1017
33846,AU033847,0,4,3,A055|RL0414
34578,AU034579,0,4,4,A056|RL0825
14058,AU014059,0,3,3,A020|RL1195
58452,AU058453,0,4,4,A098|RL0174
49173,AU049174,0,2,3,A082|RL0750
20358,AU020359,0,2,1,A031|RL0345
59033,AU059034,1,2,1,A099|RL0893
48304,AU048305,1,3,1,A080|RL0060
56254,AU056255,1,4,4,A094|RL0322
4452,AU004453,0,1,3,A004|RL0535
45012,AU045013,1,3,1,A075|RL0842
58267,AU058268,0,5,1,A098|RL0434
33036,AU033037,1,2,4,A054|RL0481
25765,AU025766,0,5,1,A041|RL0843
22069,AU022070,0,1,2,A034|RL0513
8990,AU008991,0,1,3,A012|RL1191
17052,AU017053,0,5,2,A025|RL1189
23109,AU023110,1,4,2,A036|RL0559
52469,AU052470,0,5,4,A088|RL0556
35851,AU035852,1,1,3,A058|RL0588
41900,AU041901,0,4,3,A069|RL0752
16031,AU016032,0,4,4,A024|RL1200
9857,AU009858,0,4,1,A013|RL1194
1124,AU001125,0,1,5,A001|RL1127
51528,AU051529,0,2,3,A086|RL0488
40159,AU040160,0,1,3,A066|RL0967
36406,AU036407,1,3,4,A059|RL0276
11734,AU011735,0,3,2,A017|RL1199
37234,AU037235,0,3,1,A061|RL1157
39507,AU039508,0,3,3,A065|RL0102
11307,AU011308,0,2,1,A016|RL1180
9590,AU009591,0,1,3,A013|RL1191
57732,AU057733,0,5,5,A097|RL0819
19737,AU019738,1,2,5,A030|RL0248
46052,AU046053,0,1,3,A076|RL0444
40753,AU040754,0,2,2,A067|RL0440
3186,AU003187,0,3,4,A002|RL0940
40610,AU040611,0,5,4,A067|RL0533
4198,AU004199,1,2,5,A004|RL0314
43301,AU043302,1,4,1,A072|RL0602
21452,AU021453,1,2,4,A033|RL0512
16744,AU016745,0,3,1,A025|RL1193
30466,AU030467,0,2,4,A049|RL1086
5518,AU005519,1,4,3,A006|RL0030
20158,AU020159,0,3,1,A031|RL0245
6509,AU006510,0,1,5,A008|RL0075
21145,AU021146,0,3,2,A033|RL0194
9595,AU009596,0,5,5,A013|RL1196
28371,AU028372,1,3,4,A045|RL0634
1078,AU001079,1,3,4,A001|RL0023
37563,AU037564,1,1,5,A062|RL0145
48381,AU048382,1,4,5,A081|RL0050
1041,AU001042,0,3,1,A001|RL0310
23303,AU023304,1,3,3,A036|RL0515
31382,AU031383,0,3,3,A051|RL0506
33744,AU033745,1,4,5,A055|RL0316
6970,AU006971,0,4,2,A008|RL0564
943,AU000944,0,4,2,A001|RL0308
44456,AU044457,0,4,4,A074|RL1106
36849,AU036850,1,3,1,A060|RL0825
44948,AU044949,0,5,4,A075|RL0481
29560,AU029561,1,1,3,A047|RL0731
33883,AU033884,0,5,2,A055|RL0127
5664,AU005665,1,3,2,A006|RL0009
9227,AU009228,0,1,4,A012|RL1188
8729,AU008730,0,5,4,A012|RL1194
33926,AU033927,0,3,4,A055|RL1159
40670,AU040671,0,4,5,A067|RL0798
57786,AU057787,1,3,1,A097|RL0940
14087,AU014088,0,4,5,A020|RL1200
27025,AU027026,0,2,1,A043|RL0294
22650,AU022651,0,4,3,A035|RL0825
31948,AU031949,0,1,2,A052|RL0458
31746,AU031747,0,3,4,A051|RL1017
15822,AU015823,0,5,1,A023|RL1183
35072,AU035073,0,4,5,A057|RL0224
27830,AU027831,0,1,2,A044|RL0107
18020,AU018021,1,1,5,A027|RL1111
11702,AU011703,0,5,3,A016|RL1191
4800,AU004801,0,3,4,A005|RL1130
44767,AU044768,0,1,1,A074|RL0345
51968,AU051969,0,3,2,A087|RL0965
9013,AU009014,0,4,4,A012|RL1190
43972,AU043973,0,5,4,A073|RL0748
12411,AU012412,0,3,1,A018|RL1180
13467,AU013468,1,5,2,A019|RL1180
4897,AU004898,0,3,5,A005|RL1108
30541,AU030542,0,5,3,A049|RL0536
19605,AU019606,0,4,5,A030|RL0605
59948,AU059949,0,1,4,A100|RL0228
35004,AU035005,0,5,3,A057|RL0942
34269,AU034270,0,3,4,A056|RL0459
31900,AU031901,1,5,1,A052|RL0481
31376,AU031377,1,2,4,A051|RL0362
36774,AU036775,1,1,2,A060|RL0200
41411,AU041412,0,4,3,A068|RL0274
58791,AU058792,0,4,5,A098|RL0085
23737,AU023738,1,3,5,A037|RL0824
32908,AU032909,1,4,3,A053|RL0466
7370,AU007371,1,2,4,A009|RL0057
302,AU000303,0,3,4,A001|RL0199
52295,AU052296,1,4,3,A087|RL0588
10610,AU010611,1,1,1,A015|RL1179
23477,AU023478,1,3,3,A037|RL0459
20980,AU020981,0,4,4,A032|RL0466
29980,AU029981,0,2,2,A048|RL0704
45833,AU045834,1,4,4,A076|RL1063
27927,AU027928,1,2,1,A045|RL0553
18328,AU018329,0,1,1,A028|RL0746
16604,AU016605,0,1,5,A025|RL1197
11265,AU011266,1,4,5,A016|RL1186
47797,AU047798,1,1,1,A080|RL0817
55499,AU055500,0,5,4,A093|RL0127
38813,AU038814,1,5,2,A064|RL0579
58939,AU058940,0,1,5,A099|RL0987
6941,AU006942,0,5,4,A008|RL1043
51630,AU051631,1,4,2,A086|RL0586
35622,AU035623,0,2,5,A058|RL0967
27657,AU027658,0,5,3,A044|RL0655
39935,AU039936,0,5,3,A066|RL0291
39745,AU039746,0,3,5,A065|RL1114
54208,AU054209,0,5,1,A091|RL0293
39155,AU039156,1,2,1,A064|RL0562
8058,AU008059,1,2,4,A010|RL0587
57043,AU057044,0,2,4,A096|RL1033
42389,AU042390,1,5,1,A070|RL0055
8384,AU008385,0,4,2,A011|RL1185
28124,AU028125,0,4,2,A045|RL0581
3039,AU003040,0,1,4,A002|RL0937
55789,AU055790,1,3,5,A093|RL0037
47317,AU047318,0,1,4,A079|RL0555
40575,AU040576,0,1,3,A067|RL0868
13870,AU013871,0,3,5,A020|RL1199
48114,AU048115,1,4,5,A080|RL0200
32826,AU032827,0,2,2,A053|RL0848
13090,AU013091,0,3,1,A019|RL1187
50285,AU050286,1,3,2,A084|RL0222
54737,AU054738,0,4,2,A092|RL0939
39184,AU039185,1,3,1,A064|RL0083
25293,AU025294,0,2,5,A040|RL0797
43047,AU043048,1,2,2,A071|RL1064
2221,AU002222,0,5,5,A001|RL0406
20670,AU020671,1,4,1,A032|RL0076
29678,AU029679,0,4,1,A048|RL0506
38188,AU038189,0,4,1,A063|RL0362
56285,AU056286,0,3,2,A094|RL1066
16808,AU016809,0,2,1,A025|RL1185
38414,AU038415,1,2,5,A063|RL1086
46198,AU046199,1,5,5,A077|RL0915
2792,AU002793,0,4,4,A001|RL1161
39002,AU039003,0,4,5,A064|RL0415
26647,AU026648,0,1,1,A042|RL0154
4987,AU004988,0,4,4,A005|RL0918
3181,AU003182,1,4,2,A002|RL0820
43360,AU043361,1,2,1,A072|RL0843
7227,AU007228,1,1,4,A009|RL0150
25075,AU025076,0,2,5,A040|RL0265
24371,AU024372,1,3,5,A038|RL0058
12885,AU012886,0,4,5,A018|RL1198
44594,AU044595,0,2,3,A074|RL0893
2952,AU002953,0,5,3,A001|RL0301
53994,AU053995,0,1,4,A090|RL0540
53224,AU053225,0,3,1,A089|RL0368
389,AU000390,0,2,1,A001|RL1112
41550,AU041551,1,4,5,A069|RL0577
34662,AU034663,0,2,5,A056|RL0491
8390,AU008391,0,2,3,A011|RL1191
51864,AU051865,0,2,4,A087|RL0819
50170,AU050171,1,2,2,A084|RL0987
13381,AU013382,0,3,2,A019|RL1190
200,AU000201,0,4,1,A001|RL0101
4133,AU004134,0,4,3,A003|RL0636
17184,AU017185,0,2,5,A026|RL0554
16231,AU016232,0,5,2,A024|RL1184
53878,AU053879,0,5,2,A090|RL0106
49085,AU049086,1,5,5,A082|RL0988
39716,AU039717,1,5,5,A065|RL0418
14540,AU014541,0,1,4,A021|RL1197
23475,AU023476,0,1,5,A037|RL0411
17335,AU017336,0,4,1,A026|RL0653
44023,AU044024,0,1,5,A073|RL0797
42358,AU042359,0,2,3,A070|RL0486
25690,AU025691,1,2,5,A041|RL0218
24628,AU024629,0,5,3,A039|RL0819
21741,AU021742,0,1,2,A034|RL0866
33566,AU033567,0,4,1,A054|RL0276
30768,AU030769,0,2,3,A050|RL0577
26008,AU026009,1,5,3,A041|RL0800
8535,AU008536,0,4,1,A011|RL1192
58005,AU058006,0,2,1,A097|RL0321
59211,AU059212,1,1,1,A099|RL0465
52519,AU052520,1,4,2,A088|RL0581
27574,AU027575,1,3,2,A044|RL1013
51659,AU051660,0,2,4,A086|RL0107
43244,AU043245,0,3,5,A072|RL0409
56817,AU056818,1,4,1,A095|RL0609
32380,AU032381,0,3,1,A052|RL0251
48361,AU048362,0,2,2,A081|RL0745
58613,AU058614,1,2,1,A098|RL0513
57830,AU057831,0,5,1,A097|RL0821
9083,AU009084,0,5,3,A012|RL1188
55837,AU055838,0,2,3,A094|RL0889
27034,AU027035,0,5,4,A043|RL0510
43745,AU043746,0,3,3,A072|RL0683
6335,AU006336,0,5,3,A007|RL0131
58366,AU058367,1,2,3,A098|RL0460
37713,AU037714,1,4,5,A062|RL0220
2342,AU002343,0,5,5,A001|RL0960
16600,AU016601,0,3,1,A025|RL1193
56364,AU056365,0,4,4,A094|RL0612
35013,AU035014,1,4,5,A057|RL1158
42880,AU042881,1,1,3,A071|RL0581
12646,AU012647,0,5,3,A018|RL1199
54398,AU054399,0,5,1,A091|RL0153
34373,AU034374,0,4,3,A056|RL0605
2943,AU002944,0,3,2,A001|RL0085
30233,AU030234,0,1,4,A049|RL0194
22412,AU022413,0,5,2,A035|RL0988
51719,AU051720,0,1,1,A086|RL0372
11446,AU011447,0,1,5,A016|RL1199
14348,AU014349,0,5,5,A021|RL1197
21613,AU021614,0,1,2,A033|RL0851
4368,AU004369,0,3,1,A004|RL0869
33712,AU033713,0,5,3,A055|RL0723
537,AU000538,1,1,3,A001|RL1139
10949,AU010950,0,2,3,A015|RL1182
45067,AU045068,1,2,1,A075|RL0987
57914,AU057915,0,4,5,A097|RL0487
41525,AU041526,0,5,4,A068|RL0660
46976,AU046977,0,1,2,A078|RL0104
5521,AU005522,1,3,4,A006|RL0102
41365,AU041366,0,1,4,A068|RL0345
18289,AU018290,1,1,4,A028|RL0985
21150,AU021151,0,1,5,A033|RL0314
7773,AU007774,1,5,5,A010|RL0797
23871,AU023872,0,4,5,A037|RL0515
11007,AU011008,0,5,1,A015|RL1192
43596,AU043597,1,1,3,A072|RL0632
48111,AU048112,0,4,5,A080|RL0128
58353,AU058354,0,2,1,A098|RL0148
38798,AU038799,0,3,3,A064|RL0219
27922,AU027923,0,5,3,A045|RL0433
46529,AU046530,1,1,1,A077|RL0634
51648,AU051649,0,5,4,A086|RL1018
34197,AU034198,0,4,4,A056|RL1081
16571,AU016572,0,1,4,A025|RL1188
2748,AU002749,0,4,2,A001|RL0105
39225,AU039226,0,3,1,A064|RL1067
37486,AU037487,0,5,1,A061|RL0155
34927,AU034928,0,1,1,A057|RL0269
33211,AU033212,0,1,2,A054|RL1156
40844,AU040845,1,1,3,A067|RL0274
488,AU000489,0,2,3,A001|RL1138
49649,AU049650,0,5,4,A083|RL0916
30031,AU030032,1,5,4,A048|RL0753
22352,AU022353,1,4,4,A035|RL0723
11725,AU011726,0,3,2,A017|RL1190
11574,AU011575,0,5,4,A016|RL1183
20140,AU020141,0,5,2,A031|RL0988
41918,AU041919,0,2,3,A069|RL0009
10917,AU010918,0,2,5,A015|RL1198
43583,AU043584,1,5,4,A072|RL0320
55878,AU055879,1,4,1,A094|RL0698
48875,AU048876,1,2,1,A081|RL0156
26071,AU026072,1,4,1,A041|RL1137
45383,AU045384,0,2,5,A075|RL0346
54713,AU054714,0,1,2,A092|RL0363
33654,AU033655,0,2,1,A055|RL0506
35225,AU035226,0,3,3,A057|RL0371
27151,AU027152,0,1,2,A043|RL0968
47498,AU047499,1,5,5,A079|RL0199
13167,AU013168,1,3,4,A019|RL1192
50884,AU050885,1,3,5,A085|RL0990
55453,AU055454,1,1,5,A093|RL0198
24202,AU024203,1,5,2,A038|RL0702
7285,AU007286,0,4,2,A009|RL0367
47630,AU047631,0,1,4,A079|RL1017
21833,AU021834,0,1,3,A034|RL0724
26209,AU026210,0,1,3,A042|RL0217
21271,AU021272,0,1,5,A033|RL0868
33551,AU033552,0,2,5,A054|RL1091
8741,AU008742,0,2,2,A012|RL1182
54642,AU054643,1,4,4,A092|RL1009
49637,AU049638,0,4,3,A083|RL0628
27461,AU027462,1,4,1,A044|RL0651
47195,AU047196,0,4,2,A078|RL0660
37740,AU037741,1,2,4,A062|RL0868
58488,AU058489,0,4,5,A098|RL1038
33890,AU033891,1,3,3,A055|RL0295
55753,AU055754,0,4,1,A093|RL0348
40009,AU040010,0,2,4,A066|RL0892
34841,AU034842,1,1,4,A057|RL0555
55593,AU055594,1,5,2,A093|RL0033
32334,AU032335,0,4,5,A052|RL0322
55000,AU055001,0,5,1,A092|RL0201
37985,AU037986,1,5,4,A062|RL0873
3373,AU003374,0,2,4,A002|RL0728
39163,AU039164,0,1,4,A064|RL0754
17224,AU017225,1,4,2,A026|RL0339
50449,AU050450,0,3,4,A084|RL0633
50262,AU050263,1,3,2,A084|RL0845
15214,AU015215,0,2,2,A022|RL1199
23451,AU023452,1,1,4,A037|RL1010
24913,AU024914,0,4,5,A039|RL0609
3126,AU003127,0,5,2,A002|RL0675
44680,AU044681,1,1,3,A074|RL0607
30687,AU030688,1,2,1,A049|RL0515
12251,AU012252,0,3,4,A017|RL1188
35315,AU035316,0,2,2,A058|RL0649
45819,AU045820,0,1,4,A076|RL0727
39795,AU039796,1,5,5,A065|RL1139
6542,AU006543,0,1,3,A008|RL0867
48544,AU048545,0,3,2,A081|RL0437
39669,AU039670,1,5,4,A065|RL0465
59531,AU059532,1,4,4,A100|RL0795
32841,AU032842,1,1,2,A053|RL0033
18639,AU018640,1,1,5,A028|RL1160
47831,AU047832,1,2,5,A080|RL0458
