epoch,forget_training_bce,retained_validation_bce,relative_validation_bce_increase,retained_validation_pr_auc,forget_loss,ks_d,probability_mae,elapsed_seconds,scenario
1,0.09270166535462653,0.09118630705056367,-0.0011281937976822531,0.2950377662325438,0.09093180627602322,0.022857142857142857,0.0048847073,0.45834879111498594,s3_hospital_withdrawal
2,0.09204856737738563,0.0910897993231997,-0.0021853574340061632,0.29584908135436927,0.09137762358298644,0.023571428571428573,0.0047775586,0.6992522911168635,s3_hospital_withdrawal
3,0.09282417899086362,0.09101842593263697,-0.0029671948595162423,0.2966315478481885,0.09194609837438306,0.015476190476190477,0.004638841,0.9465442909859121,s3_hospital_withdrawal
4,0.09359578113470758,0.09097766504611499,-0.0034136972090416107,0.29750104503539226,0.09257232264735318,0.009047619047619047,0.004705855,1.184007375035435,s3_hospital_withdrawal
5,0.09383889939103808,0.0910282470267496,-0.0028596127637776636,0.2994860239962232,0.09332877980721226,0.014523809523809524,0.004972359,1.4176148329861462,s3_hospital_withdrawal
6,0.09361449053599721,0.0913257775777652,0.00039959235710229635,0.3015773194771772,0.09457838296987585,0.035476190476190474,0.0057469252,1.6494101660791785,s3_hospital_withdrawal
7,0.09613614263988676,0.09181750298282247,0.005786044110574151,0.30238018379388865,0.09589802494375158,0.0530952380952381,0.0066728066,1.8812949580606073,s3_hospital_withdrawal
8,0.0972634768486023,0.09276665010570008,0.016183178632698914,0.30285210356883385,0.09785930731042007,0.07904761904761905,0.008148515,2.117454416118562,s3_hospital_withdrawal
1,0.09718345473210017,0.09347100061398965,0.00017180791586057786,0.29017328302254175,0.09652599310673139,0.03738095238095238,0.0056935973,0.226904165931046,s4_invalid_consent
2,0.0971089353164037,0.09349118619789312,0.0003878005960924469,0.28992820310915873,0.09676289209469084,0.03857142857142857,0.0057206634,0.4547228750307113,s4_invalid_consent
3,0.0965272251906849,0.09361785052735129,0.0017431524224391648,0.28997543723922103,0.09729137209839846,0.05142857142857143,0.006351786,0.6837460410315543,s4_invalid_consent
4,0.09848040563719614,0.09389677497339838,0.004727739787957264,0.2901792120219478,0.0980246042085167,0.06785714285714285,0.0074091353,0.9120931660290807,s4_invalid_consent
5,0.09888088688254357,0.09441322147110362,0.010253894679941533,0.2903782656172726,0.09904371323775775,0.09047619047619047,0.008886557,1.1367349999491125,s4_invalid_consent
6,0.09927808480603355,0.09511262041551095,0.01773770358417215,0.2910044579711602,0.10026416839513862,0.11261904761904762,0.010461326,1.3996666250750422,s4_invalid_consent
7,0.10245998162598836,0.09645618897161366,0.03211434856485118,0.2916165590699319,0.10228653351408704,0.14452380952380953,0.01265425,1.630386458011344,s4_invalid_consent
8,0.10483496124545733,0.09873946142049483,0.0565461479268039,0.29193893510033764,0.105427554893924,0.18452380952380953,0.015306064,1.8631481658667326,s4_invalid_consent
1,0.08387925019339909,0.08942986603899784,0.0006464576083673457,0.2879674139355092,0.0833634124032562,0.015396825396825397,0.00551625,0.4864390001166612,s5_retention_expiry
2,0.08416321107792477,0.08949446359403655,0.0013692509824674293,0.28736010479202845,0.08375134141508914,0.014761904761904763,0.0053388528,0.7862238751258701,s5_retention_expiry
3,0.08496829511627318,0.08958745808925708,0.0024097827012439232,0.28642650540318465,0.08422277127646033,0.012857142857142857,0.005188884,1.0770754590630531,s5_retention_expiry
4,0.08540258326937282,0.0898035694443672,0.004827890560709758,0.28576108371457315,0.08494104066768823,0.011428571428571429,0.0050092293,1.3725111670792103,s5_retention_expiry
5,0.08585267600677317,0.09005152569505408,0.007602316542556498,0.28652740094711754,0.08566235329983242,0.02412698412698413,0.0050877654,1.661038791993633,s5_retention_expiry
6,0.0874381509092119,0.09078151194972536,0.015770260789740087,0.2856457156256607,0.0870806988567265,0.05015873015873016,0.005787682,1.9764780001714826,s5_retention_expiry
7,0.08946781614292709,0.09249578809379169,0.034951597259309075,0.2853886172355491,0.0895521594663223,0.09206349206349207,0.0077259815,2.295446624979377,s5_retention_expiry
8,0.09129220671123929,0.09553572470525344,0.06896598122681596,0.2847146086689033,0.09337883737524749,0.14587301587301588,0.010477733,2.6320931671652943,s5_retention_expiry
